SITE_ID,VISIT_NO,PH_LAB,COND,ANC,TURB,DOC,NH4N_PPM,NO3_NO2,NO3N_PPM,NTL,PTL,CHLA,CL_PPM,SO4_PPM,CA_PPM,MG_PPM,NA_PPM,K_PPM,COLOR,SIO2,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM
NLA06608-0001,1,7.63,96.28,924.3,0.474,0.63,0.01,0.12,0.131,0.151,6,0.24,0.05,2.226,13.93,2.944,0.252,0.131,6,1.182,952.4,982.39,951.67,6.4,NA
NLA06608-0002,1,6.05,44.8,104.48,3.55,14.02,0.019,0.005,0.005,0.695,36,3.84,6.311,0.818,3.414,0.775,2.526,0.152,71,1.695,350.14,301.34,347.89,0.55,NA
NLA06608-0002,2,5.92,42.87,104.09,4.43,13.8,0.009,0,0.012,0.507,25,20.053,6.493,0.648,3.283,0.76,2.132,0.1,60,1.988,330.24,309.52,321.66,NA,NA
NLA06608-0003,1,8.47,1089,4746.01,7.67,6,0.005,0.005,0.005,0.738,43,16.96,173.337,49.455,51.55,9.513,164.9,5.778,18,45.248,10676.25,10664.81,10675.69,0.71,NA
NLA06608-0003,2,8.54,1120,4784.39,9.53,5.87,0.011,0.005,0.005,0.843,50,12.864,181.295,47.763,49.8,9.496,164.2,5.504,12,7.9,10550.18,10892.43,10549.51,0.49,NA
NLA06608-0004,1,8.25,303.3,1656.42,3.81,8,0.024,0.005,0.005,0.344,18,4.6,1.802,60.253,34.03,8.557,11.1,1.472,13,2.763,2924.29,2961.72,2922.71,1.8,NA
NLA06608-0004,2,8.24,326.7,1950.26,7.41,7.86,0.016,0,0,0.584,44,12.42,1.911,56.93,36.59,9.08,11.4,1.666,8,5.651,3112.52,3189.45,3111.5,NA,NA
NLA06608-0005,1,7.75,52.62,420.91,0.475,1.45,0.005,0.005,0.005,0.085,4,1.205,0.262,2.775,8.072,0.311,1.21,0.247,7,6.166,487.84,486.09,487.33,NA,Y
NLA06608-0005,2,7.7,56.1,451.07,0.591,1.31,0.002,0,0,0.048,2,0.45,0.218,2.864,9.04,0.3,1.082,0.225,0,6.462,528.74,516.85,528.6,NA,NA
NLA06608-0006,1,7.06,74.74,291.48,0.901,3.16,0.016,0.005,0.005,0.184,7,4.08,7.318,6.894,5.063,2.561,4.155,1.19,2,2.482,675.77,641.51,674.55,3.21,NA
NLA06608-0006,2,7.49,77.04,307.15,1.15,2.97,0.006,0,0,0.229,6,2.752,7.453,6.773,5.389,1.861,4.391,1.274,12,2.013,646.06,658.4,645.63,NA,NA
NLA06608-0007,1,6.07,26.65,96.04,1.05,6.68,0.013,0.005,0.005,0.493,8,2.432,1.45,3.786,1.537,0.704,0.606,1.489,10,0.091,200.85,217.26,199.07,3.15,NA
NLA06608-0007,2,6.84,25.5,100.2,1.02,6.52,0.011,0.005,0.005,0.523,7,4.088,0.871,2.53,1.502,0.705,0.602,1.49,12,0.138,198.18,177.66,197.26,3.35,NA
NLA06608-0008,1,8.48,238.1,1933.62,8.62,7.6,0.024,0.005,0.005,0.801,66,30.24,10.129,9.985,25.33,8.795,5.839,3.218,10,3.789,2325.47,2427.21,2323.98,0.79,NA
NLA06608-0008,2,8.9,197.8,1571.2,17.6,7.13,0.014,0.005,0.005,1.525,79,148.2,10.084,6.656,17.19,7.999,6.214,3.536,10,5.898,1877.45,1994.21,1876.74,0.41,NA
NLA06608-0010,1,8.74,650.1,2089.55,3.05,4.94,0.017,0.005,0.005,0.473,10,4.384,128.635,20.652,25.57,19.98,63.93,1.47,4,3.131,5739.41,6147.81,5738.46,4.48,NA
NLA06608-0010,2,8.59,645.7,1933.35,2.13,4.54,0.008,0,0,0.549,10,3.32,129.445,19.285,26.3,21.17,61.18,1.483,4,3.611,5754.02,5985.99,5753.52,NA,NA
NLA06608-0012,1,7.64,219.5,1769.64,50.3,8.01,0.078,0.279,0.29,1.026,159,4.9,8.369,8.378,19.09,8.66,7.725,4.394,40,10.202,2119.08,2200.85,2113.61,0.31,NA
NLA06608-0012,2,8.31,229.8,1857.95,45.1,6.14,0.016,0.136,0.155,1.052,142,21.28,7.669,7.358,19.88,8.805,6.97,4.123,23,3.247,2126.23,2238.53,2125.19,0.27,NA
NLA06608-0013,1,5.64,47.52,14.87,4.21,4.79,0.01,0.005,0.005,0.384,28,16.027,7.836,5.285,1.732,0.736,4.118,0.719,19,3.103,347.51,348.22,344.5,0.65,NA
NLA06608-0013,2,5.6,48.74,12.48,3.59,4.29,0.009,0,0,0.233,20,9.024,7.668,5.255,1.642,0.71,3.956,0.66,11,2.645,331.22,339.43,329.32,NA,NA
NLA06608-0014,1,9.39,8722,29010.66,7.1,41.27,0.036,0.005,0.005,4.147,175,8.748,463.285,3005.365,8.905,83.37,2037,37.83,29,7.661,96878.06,104649.78,96876.9,0.85,NA
NLA06608-0014,2,9.35,8635,28705.71,6.81,40.53,0.039,0,0.495,4.325,161,24.48,446.166,2825.403,8.996,84.82,1765,28.26,20,7.712,84925.88,100150.5,84924.64,NA,NA
NLA06608-0015,1,8.36,743.6,2896.42,32.7,3.78,0.016,0.005,0.005,0.47,109,20,53.344,143.325,56.18,11.17,73.69,5.379,5,21.271,7066.48,7385.07,7065.45,0.37,NA
NLA06608-0015,2,8.47,714.3,3026.76,19.1,3.51,0.007,0.001,0,0.454,100,14.064,51.536,126.284,56.82,11.12,72.52,5.726,5,19.829,7051.72,7109.62,7051.26,NA,NA
NLA06608-0016,1,8.48,1060,3256.44,16.5,4.69,0.081,0.021,0.067,0.49,6,13,48.2,316.901,65.75,28.23,113.6,11.44,5,6.956,10842.87,11218.63,10837.84,0.54,NA
NLA06608-0016,2,8.47,1085,3028.77,19.3,4.53,0.034,0.031,0.135,0.685,39,16.64,49.005,319.686,65.16,29.12,109.4,10.81,0,10.672,10685.09,11076.51,10682.83,NA,NA
NLA06608-0019,1,8.4,3327,8136.31,45.5,44.99,1.709,0.879,0.819,7.047,801,4.032,40.282,1340.22,41.05,69.48,609.4,41.6,57,26.392,35445.57,37234.36,35337.2,0.35,NA
