SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLX_RESULT_ugL
NLA12_CA-143,1,4,2.7
NLA12_AZ-101,1,3.31,3.228
NLA12_ND-115,1,5.16,7.48
NLA12_AZ-118,1,1.99,1.3
NLA12_UT-103,1,6.29,6.353333333
NLA12_AZ-130,1,5.81,8.586666667
NLA12_FL-101,1,9.04,10.36
NLA12_UT-101,1,1.73,3.586666667
NLA12_ND-112,1,5.32,3.28
NLA12_FL-123,1,4.28,1.952
NLA12_FL-102,1,NA,23.52
NLA12_GA-112,1,3.63,3.568
NLA12_UT-108,1,5.37,6
NLA12_FL-107,1,2.7,2.3776
NLA12_FL-110,1,12.99,11.22666667
NLA12_FL-106,1,2.8,3.144
NLA12_FL-104,1,20,16.32
NLA12_CA-168,1,223,111
NLA12_OK-122,1,6.21,15.6
NLA12_WI-R11,1,13.56,13.68
NLA12_KS-114,1,11.39,15.408
NLA12_OK-R01,1,10.14,11.77142857
NLA12_CA-106,1,153,176
NLA12_FL-114,1,4.2,4.184615385
NLA12_PA-102,1,28.84,42.29
NLA12_WI-R08,1,2.73,3.08
NLA12_AL-105,1,136.94,144.8
NLA12_OK-118,1,2.39,0.65
NLA12_CA-172,1,0.8,0.8
NLA12_AZ-127,1,11.84,13.056
NLA12_KY-101,1,1.59,1.16
NLA12_KY-107,1,53.6,44.26666667
NLA12_NC-107,1,7.58,31.2
NLA12_GA-101,1,12.13,6.896
NLA12_AL-101,1,7.95,18
NLA12_OK-R09,1,14.72,17.44
NLA12_KY-103,1,1.94,NA
NLA12_OK-293,1,152,74.2
NLA12_NM-132,1,32.88,23.521
NLA12_SC-104,1,9.25,NA
NLA12_SC-105,1,22.29,29.33333333
NLA12_SC-112,1,2.39,2.605714286
NLA12_SC-108,1,12.4,11.49333333
NLA12_NM-152,1,7.68,12.88
NLA12_CO-110,1,20,15.62
NLA12_ND-101,1,8.56,13.44
NLA12_KY-104,1,138,133.14
NLA12_KS-130,1,11.62,14.688
NLA12_PA-108,1,2.1,5.2
NLA12_NC-105,1,0.78,0.864
NLA12_NM-105,1,7.97,8.586666667
NLA12_SD-101,1,2.63,2.74
NLA12_NM-104,1,4.49,4.52
NLA12_KY-120,1,77.6,78.33333333
NLA12_KY-122,1,59,48.54545455
NLA12_TN-114,1,35.04,29.92
NLA12_TN-101,1,24.8,49.76
NLA12_TN-113,1,34.08,109.584
NLA12_TN-108,1,40.48,69.6
NLA12_KY-102,1,9.23,13.376
NLA12_SC-106,1,6.08,4.697142857
NLA12_NC-109,1,1.45,2.05
NLA12_NC-101,1,9.36,13.248
NLA12_NC-108,1,1.87,2.034285714
NLA12_SD-138,1,1.87,2.52
NLA12_NM-117,1,1.44,4.658333333
NLA12_KS-108,1,13.12,50.4
NLA12_KY-114,1,9.31,10.8
NLA12_NM-133,1,21.32,NA
NLA12_MS-107,1,17.76,25.6
NLA12_MS-106,1,16.32,25.76
NLA12_IA-107,1,187.6,104
NLA12_SD-130,1,22.24,23.36
NLA12_KS-109,1,9.79,9.92
NLA12_SD-182,1,1.71,1.92
NLA12_VA-109,1,6.99,7.656
NLA12_MT-113,1,0.54,0.60020141
NLA12_KY-117,1,20.9,22.56
NLA12_KS-103,1,8.69,12.59354839
NLA12_VA-116,1,6.32,19
NLA12_SD-166,1,6.02,6.376
NLA12_SC-103,1,1.08,1.348
NLA12_SD-104,1,4.5,3.112
NLA12_SD-122,1,31.52,31.04
NLA12_UT-112,1,15.98,10.11428571
NLA12_UT-128,1,13.72,21.48
NLA12_PA-107,1,9.35,5.79
NLA12_KS-R02,1,9.04,10.576
NLA12_MO-109,1,22.9,29.4
NLA12_IA-132,1,101.2,91.2
NLA12_NC-116,1,22.4,24.96
NLA12_MN-145,1,2.51,3.008
NLA12_MN-118,1,124.8,122.4
NLA12_MN-111,1,2.53,2.688
NLA12_ND-104,1,59.6,41.4
NLA12_ND-118,1,2.09,1.76
NLA12_NM-150,1,17.68,34.4
NLA12_UT-104,1,2.11,2
NLA12_NV-106,1,6.93,3.84
NLA12_NV-101,1,3.55,6.528
NLA12_KS-125,1,NA,3.066666667
NLA12_NM-134,1,0.51,1.83
