SITE_ID,VISIT_NO,MICL_RESULT_ppb
NLA12_CA-143,1,0.89232
NLA12_AZ-101,1,0.07162
NLA12_ND-115,1,0.08633
NLA12_AZ-118,1,0.10531
NLA12_UT-103,1,0.06627
NLA12_AZ-130,1,0.10076
NLA12_FL-101,1,0.1565
NLA12_UT-101,1,0
NLA12_ND-112,1,0.08055
NLA12_FL-123,1,0
NLA12_FL-102,1,0.75745
NLA12_GA-112,1,0.09806
NLA12_UT-108,1,0
NLA12_FL-107,1,0.07219
NLA12_FL-110,1,0
NLA12_FL-106,1,0
NLA12_FL-104,1,0.37203
NLA12_CA-168,1,0.09543
NLA12_OK-122,1,0.10608
NLA12_WI-R11,1,0.06556
NLA12_KS-114,1,0.07105
NLA12_OK-R01,1,0.16091
NLA12_CA-106,1,2.2323
NLA12_FL-114,1,0.11226
NLA12_PA-102,1,0.53
NLA12_WI-R08,1,0.12114
NLA12_AL-105,1,0.27527
NLA12_OK-118,1,0.069
NLA12_CA-172,1,0.0638
NLA12_AZ-127,1,0.12487
NLA12_KY-101,1,0.06887
NLA12_KY-107,1,0.10371
NLA12_NC-107,1,0.15264
NLA12_GA-101,1,0.61887
NLA12_AL-101,1,0.08554
NLA12_OK-R09,1,0.09218
NLA12_KY-103,1,0.10865
NLA12_OK-293,1,0.71363
NLA12_NM-132,1,2.1761
NLA12_SC-104,1,0.10452
NLA12_SC-105,1,0.22783
NLA12_SC-112,1,0.11399
NLA12_SC-108,1,0
NLA12_NM-152,1,0.01252
NLA12_CO-110,1,0.22579
NLA12_ND-101,1,0.34156
NLA12_KY-104,1,0.10561
NLA12_KS-130,1,0.17387
NLA12_PA-108,1,0
NLA12_NC-105,1,0.10554
NLA12_NM-105,1,0.09797
NLA12_SD-101,1,0.11936
NLA12_NM-104,1,0.09533
NLA12_KY-120,1,0.13777
NLA12_KY-122,1,0.15076
NLA12_TN-114,1,0.10388
NLA12_TN-101,1,0.17441
NLA12_TN-113,1,0.07764
NLA12_TN-108,1,0.08325
NLA12_KY-102,1,0.12747
NLA12_SC-106,1,0.13238
NLA12_NC-109,1,0.08599
NLA12_NC-101,1,0.14231
NLA12_NC-108,1,0.09127
NLA12_SD-138,1,0.11932
NLA12_NM-117,1,0
NLA12_KS-108,1,0.33546
NLA12_KY-114,1,0.13856
NLA12_NM-133,1,0
NLA12_MS-107,1,0.11936
NLA12_MS-106,1,0.12532
NLA12_IA-107,1,1.08681
NLA12_SD-130,1,0.50529
NLA12_KS-109,1,0.1439
NLA12_SD-182,1,0.17728
NLA12_VA-109,1,0.06824
NLA12_MT-113,1,0.068
NLA12_KY-117,1,0.12207
NLA12_KS-103,1,0.10742
NLA12_VA-116,1,0.12676
NLA12_SD-166,1,0.10698
NLA12_SC-103,1,0.17441
NLA12_SD-104,1,0.15559
NLA12_SD-122,1,4.91972
NLA12_UT-112,1,0.09915
NLA12_UT-128,1,0.20561
NLA12_PA-107,1,0
NLA12_KS-R02,1,0.07264
NLA12_MO-109,1,0.1712
NLA12_IA-132,1,0.442
NLA12_NC-116,1,0
NLA12_MN-145,1,0
NLA12_MN-118,1,0.77
NLA12_MN-111,1,0
NLA12_ND-104,1,34.5845
NLA12_ND-118,1,0.61762
NLA12_NM-150,1,0.09953
NLA12_UT-104,1,0
NLA12_NV-106,1,0.1455
NLA12_NV-101,1,0.11378
NLA12_KS-125,1,0.10132
NLA12_NM-134,1,0.10013
NLA12_NM-138,1,0.11503
NLA12_NC-103,1,0.12161
NLA12_NM-129,1,0.11406
NLA12_MO-107,1,0.08727
NLA12_IL-R01,1,0.88896
NLA12_KS-138,1,0.09004
NLA12_OK-121,1,0.17334
NLA12_MN-132,1,0
NLA12_UT-102,1,0.17724
NLA12_IA-105,1,0.94635
NLA12_NM-160,1,0.10929
NLA12_IL-R04,1,0
NLA12_MS-101,1,0.08294
NLA12_MS-102,1,0.08455
NLA12_MS-104,1,1.05791
NLA12_PA-101,1,0
NLA12_ND-139,1,2.76515
NLA12_IA-120,1,0.10243
NLA12_MT-104,1,0.09644
NLA12_SD-114,1,3.04865
NLA12_SD-115,1,0.099030000000000007
NLA12_ND-146,1,0.09808
NLA12_MN-120,1,0
NLA12_MN-122,1,0
NLA12_NH-108,1,0.0891
NLA12_OK-101,1,0.09644
NLA12_OK-291,1,0.14412
NLA12_UT-110,1,0.13662
NLA12_VA-108,1,0.05859
NLA12_WV-102,1,0.10434
NLA12_OK-108,1,0.0892
NLA12_OK-135,1,0.11341
NLA12_CA-174,1,0.1334
NLA12_CA-116,1,0.08595
NLA12_KS-R08,1,0.10048
NLA12_ND-110,1,0.27142
NLA12_VA-125,1,0.20882
NLA12_KS-105,1,0.10243
NLA12_IL-R03,1,0
NLA12_LA-101,1,0.2583
NLA12_MN-137,1,6.9
NLA12_UT-109,1,0.21851
NLA12_NY-0104,1,0.08591
NLA12_ND-162,1,0.9253
NLA12_KS-R07,1,0.25476
NLA12_GA-107,1,4.45425
NLA12_TX-121,1,0.12448
NLA12_VA-114,1,0.05289
NLA12_WV-106,1,0.13553
NLA12_ND-178,1,0.09017
NLA12_CA-132,1,0
NLA12_ND-163,1,2.52968
NLA12_NH-104,1,0.08804
NLA12_MN-107,1,0
NLA12_LA-134,1,0.34118
NLA12_IA-101,1,2.12044
NLA12_KS-102,1,0.13406
NLA12_TX-R02,1,0.11566
NLA12_KS-124,1,0.14591
NLA12_AZ-101,2,0.0828
NLA12_KS-R11,1,0.0432
NLA12_MO-119,1,0.08057
NLA12_NV-127,1,0.10856
NLA12_NV-167,1,0.06824
NLA12_TX-144,1,0
NLA12_LA-102,1,0.18614
NLA12_WI-R06,1,0.05386
NLA12_SD-168,1,0.17944
NLA12_ND-186,1,0.04539
NLA12_CA-157,1,0
NLA12_LA-105,1,0.20789
NLA12_LA-161,1,0.12925
NLA12_ND-108,1,0.4729
NLA12_OK-134,1,0.10256
NLA12_TX-165,1,0.09964
NLA12_ND-126,1,0.12735
NLA12_KS-101,1,0.01746
NLA12_CA-121,1,0.06235
NLA12_IA-109,1,0.08425
NLA12_LA-103,1,0.06104
NLA12_LA-152,1,0.10506
NLA12_MN-102,1,0.57
NLA12_MT-109,1,0.07111
NLA12_UT-105,1,0.0779
NLA12_TX-117,1,0.1352
NLA12_OR-110,1,0.09321
NLA12_OK-120,1,0.13044
NLA12_OK-104,1,0.05623
NLA12_NH-101,1,0.07689
NLA12_MI-R08,1,0.10674
NLA12_SD-172,1,0.12127
NLA12_SD-124,1,0.03876
NLA12_SD-140,1,0.05927
NLA12_MN-108,1,0
NLA12_CT-101,1,0.0858
NLA12_NH-R04,1,0.09229
NLA12_WV-101,1,0.07147
NLA12_ND-155,1,0.81565
NLA12_NY-0101,1,0.0297
NLA12_OK-109,1,0.1062
NLA12_MT-118,1,0.04158
NLA12_ND-151,1,1.24517
NLA12_WV-115,1,0.12299
NLA12_NH-112,1,0.0802
NLA12_MN-163,1,1.9
NLA12_ND-173,1,0.70905
NLA12_LA-104,1,0.16579
NLA12_NV-103,1,0.06828
NLA12_NV-102,1,0.07111
NLA12_MN-130,1,0
NLA12_KS-109,2,0.09857
NLA12_LA-154,1,NA
NLA12_LA-155,1,0.088
NLA12_UT-160,1,0.15589
NLA12_TX-101,1,0.15711
NLA12_MI-R09,1,0.09691
NLA12_MT-138,1,0.24098
NLA12_TX-160,1,0.09994
NLA12_MO-104,1,0.03476
NLA12_MO-117,1,0
NLA12_CO-124,1,0
NLA12_LA-106,1,2.32405
NLA12_LA-109,1,0.09048
NLA12_TX-195,1,0.11758
NLA12_IA-106,1,0.23923
NLA12_ND-115,2,0.12958
NLA12_NV-141,1,0.95549
NLA12_WI-140,1,0
NLA12_MD-102,1,0.11158
NLA12_DE-105,1,0
NLA12_KS-126,1,0
NLA12_IA-R03,1,0.0794
NLA12_IA-103,1,0.04128
NLA12_VA-R01,1,0.0673
NLA12_NV-193,1,0.08178
NLA12_TX-187,1,0.27036
NLA12_CO-102,1,0.04844
NLA12_KS-106,1,0.10719
NLA12_LA-141,1,0.01257
NLA12_MN-105,1,0
NLA12_MT-126,1,0.21999
NLA12_NJ-107,1,0.08994
NLA12_SD-106,1,0.11301
NLA12_TX-157,1,0.07055
NLA12_WV-113,1,0.07648
NLA12_SD-110,1,0.26714
NLA12_IL-110,1,0.17212
NLA12_NH-105,1,0.06931
NLA12_CT-115,1,0.08427
NLA12_IA-R01,1,0.13197
NLA12_MN-109,1,0.35
NLA12_VA-R17,1,0.09138
NLA12_MT-154,1,0.63212
NLA12_ID-194,1,0
NLA12_UT-173,1,0.10064
NLA12_UT-165,1,0
NLA12_WV-111,1,0
NLA12_NV-109,1,0.13441
NLA12_KS-107,1,0.31812
NLA12_RI-104,1,0
NLA12_PA-118,1,0
NLA12_PA-109,1,0
NLA12_NY-0102,1,0.13205
NLA12_WV-R01,1,0.11113
NLA12_DE-102,1,3.71317
NLA12_MN-150,1,0
NLA12_IA-R02,1,5.8072
NLA12_ND-102,1,1.85603
NLA12_OR-111,1,43.8622
NLA12_IA-113,1,0.15325
NLA12_TX-107,1,0.17464
NLA12_KS-121,1,0.07648
NLA12_ND-119,1,0.33742
NLA12_ND-167,1,3.03155
NLA12_CT-102,1,0.07877
NLA12_LA-134,2,0.24081
NLA12_NH-103,1,0
NLA12_TX-105,1,0
NLA12_ND-187,1,0.12723
NLA12_LA-101,2,0.23042
NLA12_UT-186,1,0.088
NLA12_UT-141,1,0.09138
NLA12_MN-138,1,0
NLA12_SD-102,1,1.88462
NLA12_CO-114,1,0.07381
NLA12_CO-131,1,0.08375
NLA12_MN-153,1,0
NLA12_WV-112,1,0.0949
NLA12_MT-142,1,0
NLA12_GA-118,1,0.07522
NLA12_MD-105,1,0.4367
NLA12_IA-150,1,0.3376
NLA12_LA-172,1,0.13571
NLA12_OK-103,1,0.13297
NLA12_OH-103,1,0
NLA12_WA-118,1,0
NLA12_UT-148,1,0.12268
NLA12_KS-122,1,0.10178
NLA12_RI-102,1,0
NLA12_ID-168,1,0
NLA12_KY-107,2,0
NLA12_ID-141,1,0
NLA12_UT-125,1,0
NLA12_KY-116,1,0.22642
NLA12_KY-101,2,0
NLA12_VT-112,1,0.17613
