SITE_ID,VISIT_NO,INDEX_SITE_DEPTH
NLA12_AL-101,1,13.1
NLA12_AL-101,2,13.7
NLA12_AL-102,1,17.3
NLA12_AL-103,1,6.5
NLA12_AL-104,1,19.8
NLA12_AL-105,1,4.6
NLA12_AL-105,2,5
NLA12_AL-112,1,3.8
NLA12_AL-113,1,2.5
NLA12_AL-114,1,3.5
NLA12_AR-101,1,1.9
NLA12_AR-101,2,2.1
NLA12_AR-102,1,1.3
NLA12_AR-103,1,13.4
NLA12_AR-104,1,9.1
NLA12_AR-105,1,2.3
NLA12_AR-105,2,2.6
NLA12_AR-106,1,5.4
NLA12_AR-109,1,7.8
NLA12_AR-111,1,1.2
NLA12_AZ-101,1,23.3
NLA12_AZ-101,2,24.4
NLA12_AZ-102,1,1.6
NLA12_AZ-103,1,3.6
NLA12_AZ-106,1,4.8
NLA12_AZ-107,1,3.6
NLA12_AZ-118,1,2.4
NLA12_AZ-123,1,1.8
NLA12_AZ-127,1,4.3
NLA12_AZ-130,1,12.7
NLA12_AZ-130,2,21.2
NLA12_AZ-140,1,4.1
NLA12_AZ-143,1,4
NLA12_AZ-145,1,3
NLA12_AZ-157,1,1.6
NLA12_CA-101,1,12
NLA12_CA-101,2,9.2
NLA12_CA-102,1,2.2
NLA12_CA-103,1,19.8
NLA12_CA-104,1,29.9
NLA12_CA-105,1,4.3
NLA12_CA-106,1,2.7
NLA12_CA-107,1,8.3
NLA12_CA-108,1,14
NLA12_CA-111,1,5.1
NLA12_CA-111,2,5.4
NLA12_CA-112,1,6.3
NLA12_CA-116,1,34.5
NLA12_CA-119,1,33
NLA12_CA-121,1,14.3
NLA12_CA-123,1,5.7
NLA12_CA-128,1,3.5
NLA12_CA-132,1,9.6
NLA12_CA-135,1,16
NLA12_CA-138,1,1.3
NLA12_CA-141,1,3.7
NLA12_CA-143,1,8.3
NLA12_CA-145,1,3.5
NLA12_CA-154,1,3
NLA12_CA-156,1,2.7
NLA12_CA-157,1,7.2
NLA12_CA-166,1,6.7
NLA12_CA-167,1,8.3
NLA12_CA-168,1,24.1
NLA12_CA-172,1,12.8
NLA12_CA-174,1,6
NLA12_CA-180,1,29.1
NLA12_CA-181,1,5.8
NLA12_CA-188,1,29
NLA12_CA-190,1,2
NLA12_CA-200,1,10.2
NLA12_CA-206,1,45
NLA12_CA-208,1,1.5
NLA12_CA-212,1,14.8
NLA12_CA-223,1,25.8
NLA12_CO-101,1,2.2
NLA12_CO-101,2,1.8
NLA12_CO-102,1,14
NLA12_CO-103,1,5
NLA12_CO-104,1,6.7
NLA12_CO-105,1,4.4
NLA12_CO-106,1,7.2
NLA12_CO-107,1,16.4
NLA12_CO-108,1,4.9
NLA12_CO-109,1,12.5
NLA12_CO-110,1,4
NLA12_CO-111,1,6
NLA12_CO-114,1,5.1
NLA12_CO-115,1,3.3
NLA12_CO-117,1,5
NLA12_CO-119,1,30
NLA12_CO-121,1,3.1
NLA12_CO-124,1,4.8
NLA12_CO-125,1,6.5
NLA12_CO-127,1,5.3
NLA12_CO-129,1,2.1
NLA12_CO-130,1,5.8
NLA12_CO-131,1,7.6
NLA12_CO-131,2,7.6
NLA12_CO-133,1,2.4
NLA12_CT-101,1,1.9
NLA12_CT-101,2,2.5
NLA12_CT-102,1,19.3
NLA12_CT-103,1,23.6
NLA12_CT-104,1,5.7
NLA12_CT-105,1,6.3
NLA12_CT-107,1,4.5
NLA12_CT-108,1,2.5
NLA12_CT-115,1,6.7
NLA12_CT-115,2,6.7
NLA12_CT-118,1,9.2
NLA12_CT-126,1,3.9
NLA12_DE-101,1,1.7
NLA12_DE-101,2,1.7
NLA12_DE-102,1,1.3
NLA12_DE-103,1,1.7
NLA12_DE-104,1,1.9
NLA12_DE-105,1,2.4
NLA12_DE-105,2,2.2
NLA12_DE-107,1,1.4
NLA12_DE-121,1,1.5
NLA12_FL-101,1,4.4
NLA12_FL-101,2,3.7
NLA12_FL-102,1,3.8
NLA12_FL-102,2,3.9
NLA12_FL-103,1,1.2
NLA12_FL-104,1,6.7
NLA12_FL-105,1,3.5
NLA12_FL-106,1,2.8
NLA12_FL-107,1,6.1
NLA12_FL-108,1,5.5
NLA12_FL-109,1,2.4
NLA12_FL-110,1,2.6
NLA12_FL-110,2,2.8
NLA12_FL-114,1,6.6
NLA12_FL-123,1,17.3
