SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_NV-10018,1,109.932,7.72,6.996,101.625,2172.4,0.1623,7.95,5.19,1.343,3.16,0.599,4.588,1004.914,162.598,25,2496.93,239.126,92.325,0.02,NA,NA,NA,NA
NLA17_NV-10036,1,12.867,7.12,33.686,8.668,333.4,0.0196,8.45,12.16,0.9,2.72,0.027,4.635,20.639,20.829,27,2681.74,30.447,234.695,0,NA,NA,NA,NA
NLA17_ND-10011,1,251.264,27.17,14.273,119.687,3206.2,0.0507,8.92,6.14,2.75,2.68,0.014,70.86,1229.337,381.525,35,9739.84,27.385,63.3475,0,NA,NA,NA,NA
NLA17_NV-10242,1,160.715,62.55,2.726,5693.816,29931.9,1.0637,9.4,0.6,2.323,0.68,0.086,397.076,5666.998,8198.132,5,99001.42,11.668,700.47,0,NA,NA,NA,NA
NLA17_OH-10016,1,2.985,6.92,1.31,25.178,223.5,0.0995,7.9,305.28,1.735,10.57,0.051,2.548,6.15,21.088,35,1125.87,18.831,170.41125,0.003,NA,NA,NA,NA
NLA17_TN-10003,1,1.802,3.9,0.905,1.945,128.7,0,9.27,52.16,1.278,19.97,0.011,3.148,0.392,1.303,3,1063.05,21.002,463.12625,0,NA,NA,NA,NA
NLA17_AZ-10004,1,16.964,10.59,6.445,38.929,468.6,0,8.38,2.64,0.615,0.73,0.019,3.728,11.077,28.921,10,3023.51,42.524,192.115,0,NA,NA,NA,NA
NLA17_MI-10011,1,9.528,5.29,1.096,13.267,227.6,0.0011,8.45,2.74,0.52,1.05,0.019,0.308,3.605,8.729,5,1914.31,23.928,12.9225,0,NA,NA,NA,NA
NLA17_ND-10015,1,65.239,17.13,12.919,5.748,666.3,0,8.87,9.34,1.866,5.71,0.019,11.371,6.736,35.669,2,7774.69,25.726,49.725,0,NA,NA,NA,NA
NLA17_CA-10064,1,421.013,4,10.966,6914.783,20363.9,2.1821,8.11,9.95,0.701,6.95,0.034,145.059,961.796,4421.914,5,2190.2,144.924,362.0075,0,NA,NA,NA,NA
NLA17_KY-10001,1,1.534,1.98,4.183,0.639,33.6,8e-4,7.22,2.2,0.121,2.57,0.005,0.845,5.803,0.995,0,146.42,2.128,5.91625,0,NA,NA,NA,NA
NLA17_ND-10008,1,116.288,27.45,9.133,22.71,2311.8,0.1936,8.91,26.4,3.174,16.82,0.108,44.084,701.265,336.831,20,12633.41,33.802,207.63875,0,NA,NA,NA,NA
NLA17_TX-10001,1,2.208,5.76,7.336,10.313,244.8,0.1997,8.1,22.77,1.074,41.28,0.031,4.511,19.405,11.982,29,1827.61,30.636,134.5625,0.006,NA,NA,NA,NA
NLA17_KS-10005,1,7.868,7.15,7.642,11.007,337.8,0,8.46,21.44,0.959,10.17,0.018,4.334,19.634,7.563,35,2752.62,46.417,66.83625,0,NA,NA,NA,NA
NLA17_NV-10002,1,45.687,6.64,4.303,22.83,762.3,0,8.69,1.26,0.61,0.48,0.013,15.002,80.089,57.252,15,6186.35,35.617,17.75,0,NA,NA,NA,NA
NLA17_NV-10006,1,23.248,1.32,8.798,1.527,422.3,0,8.51,2.75,0.165,2.51,0.005,0.921,38.03,5.279,0,3804.05,48.709,21.74875,0,NA,NA,NA,NA
NLA17_KY-10006,1,2.928,3.33,4.402,2.437,79.9,0.0022,7.75,16.88,0.386,6.02,0.011,1.446,8.362,2.288,0,495.18,7.853,16.17625,0.001,NA,NA,NA,NA
NLA17_TX-10019,1,1.409,7.78,2.866,1.986,95.9,7e-4,8.13,13.18,0.966,4.09,0.015,4.207,1.175,2.008,8,830.45,12.833,53.165,0,NA,NA,NA,NA
NLA17_TN-10004,1,6.275,3.89,5.119,3.976,173.2,0.0051,8.7,64,1.138,13.6,0.014,1.146,5.827,3.032,0,1495.41,20.258,48.5825,0,NA,NA,NA,NA
NLA17_MO-HP002,1,4.725,6.43,0.744,2.833,198.3,0.0012,8.49,2.88,0.691,2.11,0.022,4.956,7.102,3.109,4,1781.6,27.498,25.2025,0,NA,NA,NA,NA
NLA17_IA-HP002,1,5.585,6.49,2.892,1.334,205.1,0,8.46,1.79,0.495,1.22,0.02,1.954,2.474,2.314,0,1978.44,28.813,11.1925,0,NA,NA,NA,NA
NLA17_ND-10035,1,94.641,27.05,24.686,76.644,3400,0.1826,9.03,66.8,5.156,25.08,0.037,43.156,1232.713,580.365,14,8536.37,38.946,266.94625,0.003,NA,NA,NA,NA
NLA17_ND-10004,1,41.394,25.2,32.864,27.762,1903.8,0.1655,8.88,87.2,5.294,39.33,0.039,29.75,534.487,306.038,24,9066.71,25.291,523.64125,0.002,NA,NA,NA,NA
