SITE_ID,VISIT_NO,LAKENAME,LAKE_ORIGIN_FINAL,CLEAR_TO_BOTTOM,SECMEAN,STATE,AMFCALL,AMFCEMERGENT,AMFCFLOATING,AMFCSUBMERGENT,BFFFLAT,BFFGRADUAL,BFFSTEEP,BFFVERTICAL,BFOANGLE,BSFCBEDROCK,BSFCBOULDERS,BSFCCOBBLE,BSFCGRAVEL,BSFCORGANIC,BSFCSAND,BSFCSILT,BSFCWOOD,BSISITEVARIETY,BSISTAVARIETY,BSVLDIA,BSXLDIA,FCFCAQUATIC_DD,FCFCAQUATIC_LIT,FCFCAQUATIC_SIM,FCFCBOULDERS_DD,FCFCBOULDERS_LIT,FCFCBOULDERS_SIM,FCFCBRUSH_DD,FCFCBRUSH_LIT,FCFCBRUSH_SIM,FCFCLEDGES_DD,FCFCLEDGES_LIT,FCFCLEDGES_SIM,FCFCLIVETREES_DD,FCFCLIVETREES_LIT,FCFCLIVETREES_SIM,FCFCOVERHANG_DD,FCFCOVERHANG_LIT,FCFCOVERHANG_SIM,FCFCSNAGS_DD,FCFCSNAGS_LIT,FCFCSNAGS_SIM,FCFCSTRUCTURES_DD,FCFCSTRUCTURES_LIT,FCFCSTRUCTURES_SIM,FCFPALL_DD,FCFPALL_LIT,FCFPALL_SIM,HIFPANY_SYN,HIFPANYCIRCA_SYN,HIIAG_SYN,HIIAGCIRCA_SYN,HIIALL_SYN,HIIALLCIRCA_SYN,HIINONAG_SYN,HIINONAGCIRCA_SYN,HIPWAG_SYN,HIPWALL_SYN,HIPWBUILDINGS_SYN,HIPWCOMMERCIAL_SYN,HIPWCROPS_SYN,HIPWDOCKS_SYN,HIPWLANDFILL_SYN,HIPWLAWN_SYN,HIPWNONAG_SYN,HIPWORCHARD_SYN,HIPWOTHER_SYN,HIPWPARK_SYN,HIPWPASTURE_SYN,HIPWPOWERLINES_SYN,HIPWROADS_SYN,HIPWWALLS_SYN,RVFCCANBIG_DD,RVFCCANBIG_RIP,RVFCCANBIG_SYN,RVFCCANSMALL_DD,RVFCCANSMALL_RIP,RVFCCANSMALL_SYN,RVFCGNDBARE_DD,RVFCGNDBARE_RIP,RVFCGNDBARE_SYN,RVFCGNDINUNDATED_DD,RVFCGNDINUNDATED_RIP,RVFCGNDINUNDATED_SYN,RVFCGNDNONW_DD,RVFCGNDNONW_RIP,RVFCGNDNONW_SYN,RVFCGNDWOODY_DD,RVFCGNDWOODY_RIP,RVFCGNDWOODY_SYN,RVFCUNDNONW_DD,RVFCUNDNONW_RIP,RVFCUNDNONW_SYN,RVFCUNDWOODY_DD,RVFCUNDWOODY_RIP,RVFCUNDWOODY_SYN,RVICANOPY_DD,RVICANOPY_RIP,RVICANOPY_SYN,RVICANUND_DD,RVICANUND_RIP,RVICANUND_SYN,RVIGROUND_DD,RVIGROUND_RIP,RVIGROUND_SYN,RVIHERBS_DD,RVIHERBS_RIP,RVIHERBS_SYN,RVITALLWOOD_DD,RVITALLWOOD_RIP,RVITALLWOOD_SYN,RVITOTALVEG_DD,RVITOTALVEG_RIP,RVITOTALVEG_SYN,RVIUNDERSTORY_DD,RVIUNDERSTORY_RIP,RVIUNDERSTORY_SYN,RVIWOODY_DD,RVIWOODY_RIP,RVIWOODY_SYN,SIVDEPTH,SIXDEPTH,SSFCBEDROCK,SSFCBOULDERS,SSFCCOBBLE,SSFCGRAVEL,SSFCORGANIC,SSFCOTHER,SSFCSAND,SSFCSILT,SSFCWOOD,SSISITEVARIETY,SSISTAVARIETY,SSVLDIA,SSXLDIA,ECOWSA9_2015,ECOWSA3_2015,YEAR,LkArea_km2,L_LkAreakm2,ELEV_use,L_ELEV_use,LkPerim_km,L_LkPerimkm,DpthMx_use,L_DpthMx_use,LATdd_use,LONdd_use,ElevXLat_use,ElevXLon_use,Lake_Origin_use,Reservoir,ECOP5_2015,ECOP6_2015,RVegQc15,LitCvrQc15,LitRipCvrQc15,L_RVegQc15,L_LitCvrQc15,L_LitRipCvrQc15,RVegQc3x15,LitCvrQc3x15,LitRipCvrQc3x15,L_RVegQc3x15,L_LitCvrQc3x15,L_LitRipCvrQc3x15,RVegQc3OE15,LitCvrQc3OE15,LitRipCvrQc3OE15,HORIZDD_use,VERTDD_use,L_HORIZDD_use,L_VERTDD_use
NLA17_AK-10010,1,NA,NA,NA,2.35,AK,0.419444444,0.258333333,0.236111111,0.033333333,0.444444444,0.222222222,0.333333333,0,FLAT,0,0.12012727,0.045100273,0.148148148,0.188350666,0.007407407,0.398969166,0.091897069,7,3.4,0.243381861,-0.088083462,NA,0.397222222,0.397222222,NA,0.080555556,0.080555556,NA,0,0,NA,0.011111111,0.011111111,NA,0,0,NA,0.111111111,0.111111111,NA,0.102777778,0.102777778,NA,0,0,NA,1,1,1,0.666666667,0.055555556,0,1.944444444,1.222222222,1.888888889,1.222222222,0.019230769,0.150862069,0.111111111,0,0.055555556,0,0.555555556,0.111111111,0.188888889,0,0.055555556,0.666666667,0,0,0.111111111,0.277777778,0,0.275,0.275,0,0.022222222,0.022222222,NA,0.203087334,0.203087334,NA,0.034097277,0.034097277,NA,0.59795321,0.59795321,NA,0.164862179,0.164862179,NA,0.297222222,0.297222222,NA,0.308333333,0.308333333,0,0.297222222,0.297222222,0,0.902777778,0.902777778,NA,0.672222222,0.672222222,NA,0.808333333,0.808333333,0,0.605555556,0.605555556,0,1.547222222,1.547222222,NA,0.605555556,0.605555556,0,0.738888889,0.738888889,1.177921899,1.466666667,0,0,0.007662835,0.075418275,0.054153771,0.35043889,0.006006006,0,0.061875778,5,1.888888889,0.125571888,0.075706459,NA,NA,2017,NA,NA,NA,NA,NA,NA,19.5,1.290034611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10011,1,NA,NA,NA,1.85,AK,0.32,0.2225,0.125,0.08,0.1,0.8,0.1,0,GRADUAL,0,0,0.041476408,0.247852458,0.129164316,0.228487379,0.161185792,0.191833647,6,4.8,0.076972114,-0.032448576,NA,0.24,0.24,0.25,0,0,NA,0.1375,0.1375,NA,0.05,0.05,NA,0,0,NA,0.1225,0.1225,NA,0.055,0.055,NA,0.005,0.005,1,1,1,0.9,0.4,0,0,1.55,0.7,1.55,0.7,0,0.119230769,0.25,0,0,0.2,0.15,0.25,0.155,0,0,0.2,0,0.1,0.25,0.15,NA,0.48,0.48,NA,0.035,0.035,NA,0.146337554,0.146337554,NA,0.028619321,0.028619321,NA,0.614657204,0.614657204,NA,0.213247853,0.213247853,NA,0.235,0.235,NA,0.435,0.435,NA,0.515,0.515,NA,1.185,1.185,NA,0.72,0.72,NA,0.745,0.745,NA,0.95,0.95,NA,1.885,1.885,NA,0.67,0.67,NA,1.14,1.14,2.005021474,2.53,0,0,0.013513514,0.10363854,0.227111333,0.423400031,0.026251662,0.13637884,0.069706081,6,4.2,0.199158355,-0.144378626,NA,NA,2017,NA,NA,NA,NA,NA,NA,32.6,1.5132176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10023,1,NA,NA,NA,1.37,AK,0.295,0.1375,0.065,0.15,0.8,0.1,0.1,0,FLAT,0,0.003571429,0.003571429,0.003571429,0.276929455,0.003571429,0.614193038,0.094591793,7,3.1,0.149037652,-0.304690885,NA,0.295,0.295,NA,0.005,0.005,NA,0.055,0.055,NA,0,0,NA,0,0,NA,0.11,0.11,NA,0.0825,0.0825,NA,0,0,NA,1,1,0.3,0,0,0,0.15,0,0.15,0,0,0.011538462,0,0,0,0,0,0,0.015,0,0,0,0,0,0.15,0,NA,0.1575,0.1575,NA,0.07,0.07,NA,0.184701246,0.184701246,NA,0.048597169,0.048597169,NA,0.555685453,0.555685453,NA,0.211016132,0.211016132,NA,0.355,0.355,NA,0.1825,0.1825,NA,0.2275,0.2275,NA,0.765,0.765,NA,0.795,0.795,NA,0.8975,0.8975,NA,0.41,0.41,NA,1.51,1.51,NA,0.5375,0.5375,NA,0.6125,0.6125,0.923820569,1.37,0,0.027027027,0,0,0.144718919,0.808336919,0,0,0.019917135,3,2.5,0.158113883,0.05,NA,NA,2017,NA,NA,NA,NA,NA,NA,6,0.77815125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10083,1,NA,NA,NA,1.9,AK,0.255,0.07,0.04,0.2225,0.1,0.9,0,0,GRADUAL,0,0.025417913,0.020012508,0.004878049,0.233396091,0,0.669815274,0.046480165,6,3.9,0.058588511,-0.299660487,NA,0.255,0.255,NA,0.025,0.025,NA,0.055,0.055,NA,0,0,NA,0,0,NA,0.035,0.035,NA,0.01,0.01,NA,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.1,0.1,NA,0.165,0.165,NA,0.081146075,0.081146075,NA,0.009405405,0.009405405,NA,0.520245495,0.520245495,NA,0.389203024,0.389203024,NA,0.07,0.07,NA,0.57,0.57,NA,0.265,0.265,NA,0.905,0.905,NA,1.0425,1.0425,NA,0.645,0.645,NA,0.835,0.835,NA,1.9375,1.9375,NA,0.64,0.64,NA,1.2925,1.2925,0.457165178,1.17,0,0,0,0,0.175654805,0.727211708,0,0.005405405,0.091728082,3,3,0.111255483,-0.035182073,NA,NA,2017,NA,NA,NA,NA,NA,NA,3.2,0.505149978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10125,1,NA,NA,Y,NA,AK,0.4725,0.045,0.055,0.4275,0.1,0.7,0.2,0,GRADUAL,0,0,0.005128205,0,0,0.155405405,0.823527374,0.017710018,4,1.8,0.063901987,-0.305275422,NA,0.4225,0.4225,NA,0,0,NA,0,0,NA,0.005,0.005,NA,0,0,NA,0.055,0.055,NA,0,0,NA,0.005,0.005,NA,0.9,0.9,1,0.2,0,0,0.9,0.2,0.9,0.2,0,0.069230769,0,0,0,0,0.05,0,0.09,0,0.35,0,0,0,0.5,0,NA,0.005,0.005,NA,0.045,0.045,NA,0.4683906,0.4683906,1,0,0,NA,0.378492274,0.378492274,NA,0.153117126,0.153117126,NA,0.09,0.09,NA,0.255,0.255,NA,0.05,0.05,NA,0.395,0.395,0.25,0.51,0.51,NA,0.45,0.45,NA,0.305,0.305,NA,0.905,0.905,NA,0.345,0.345,NA,0.455,0.455,0.4788876,1.36,0,0,0.005128205,0.011466011,0.096874189,0.750470358,0.046185346,0.065312165,0.024563725,6,3.6,0.162086007,-0.155790608,NA,NA,2017,NA,NA,NA,NA,NA,NA,2,0.301029996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10184,1,NA,NA,NA,0.95,AK,0.11,0.015,0.065,0.05,0.7,0.2,0,0.1,FLAT,0,0,0,0,0.193512508,0,0.686895957,0.119591535,3,3,0,-0.351820729,NA,0.11,0.11,NA,0,0,NA,0.11,0.11,NA,0.04,0.04,NA,0,0,NA,0.05,0.05,NA,0.03,0.03,NA,0.005,0.005,NA,1,1,0.6,0.1,0,0,0.95,0.1,0.95,0.1,0,0.073076923,0.25,0,0,0.1,0.05,0,0.095,0,0,0,0,0.25,0.3,0,NA,0.02,0.02,NA,0.15,0.15,NA,0.045238095,0.045238095,NA,0,0,NA,0.421666667,0.421666667,NA,0.533095238,0.533095238,NA,0.125,0.125,NA,0.315,0.315,NA,0.17,0.17,NA,0.61,0.61,NA,0.9875,0.9875,NA,0.57,0.57,NA,0.485,0.485,NA,1.5975,1.5975,NA,0.44,0.44,NA,1.0275,1.0275,1.050343859,2.71,0,0,0,0,0.224335518,0.685743469,0,0.013738739,0.074655747,3,2.9,0.148340644,-0.070364146,NA,NA,2017,NA,NA,NA,NA,NA,NA,5.9,0.770852012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10245,1,NA,NA,NA,1.6,AK,0.39,0.13,0.1175,0.13,0.6,0.4,0,0,FLAT,0,0,0,0,0.555560883,0,0.372254732,0.080204873,3,2.5,0,-0.351820729,NA,0.39,0.39,NA,0,0,NA,0.07,0.07,NA,0.04,0.04,NA,0.01,0.01,NA,0.07,0.07,NA,0.01,0.01,NA,0,0,NA,1,1,0.3,0,0,0,0.15,0,0.15,0,0,0.011538462,0,0,0,0,0,0,0.015,0,0,0,0,0,0.15,0,NA,0.075,0.075,NA,0.055,0.055,NA,0.028262548,0.028262548,NA,0.11433046,0.11433046,NA,0.478626725,0.478626725,NA,0.378780267,0.378780267,NA,0.195,0.195,NA,0.365,0.365,NA,0.13,0.13,NA,0.69,0.69,NA,0.9675,0.9675,NA,0.6725,0.6725,NA,0.495,0.495,NA,1.535,1.535,NA,0.56,0.56,NA,0.8625,0.8625,0.225092574,1.22,0,0,0,0,0.19806045,0.711677784,0,0.040963176,0.049298589,3,2.9,0.181679443,-0.140728292,NA,NA,2017,NA,NA,NA,NA,NA,NA,11.2,1.0492180230000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10281,1,NA,NA,NA,1.4,AK,0.2625,0.13,0.045,0.13,0.5,0.5,0,0,"FLAT, GRADUAL",0,0.018423077,0.01425641,0,0.373514056,0,0.544698995,0.049107462,5,3.3,0.055074241,-0.310473168,NA,0.2625,0.2625,NA,0.02,0.02,NA,0.03,0.03,NA,0.015,0.015,NA,0,0,NA,0.07,0.07,NA,0.015,0.015,NA,0.005,0.005,NA,1,1,0.3,0,0,0,0.2,0,0.2,0,0,0.015384615,0,0,0,0.05,0,0,0.02,0,0,0,0,0,0.15,0,NA,0.12,0.12,NA,0.1425,0.1425,NA,0.040689503,0.040689503,NA,0.053665694,0.053665694,NA,0.562338563,0.562338563,NA,0.34330624,0.34330624,NA,0.1425,0.1425,NA,0.4375,0.4375,NA,0.2625,0.2625,NA,0.8425,0.8425,NA,0.93,0.93,NA,0.6825,0.6825,NA,0.7,0.7,NA,1.7225,1.7225,NA,0.58,0.58,NA,1.04,1.04,0.198885785,1.18,0,0.005405405,0,0,0.106527014,0.799224735,0,0.041995921,0.046846925,4,3.8,0.182989544,-0.238865547,NA,NA,2017,NA,NA,NA,NA,NA,NA,7.5,0.875061263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10327,1,NA,NA,NA,0.78,AK,0.161111111,0.094444444,0.088888889,0.072222222,0.777777778,0.222222222,0,0,FLAT,0,0,0,0,0.295334295,0,0.679268879,0.025396825,3,2.444444444,0,-0.351820729,NA,0.161111111,0.161111111,NA,0,0,NA,0.022222222,0.022222222,NA,0.011111111,0.011111111,NA,0,0,NA,0.05,0.05,NA,0.016666667,0.016666667,NA,0,0,NA,1,1,0.555555556,0,0,0,0.333333333,0,0.333333333,0,0,0.025641026,0,0,0,0,0.055555556,0,0.033333333,0,0,0,0,0,0.277777778,0,NA,0.169444444,0.169444444,NA,0.072222222,0.072222222,NA,0.096822418,0.096822418,NA,0.02862286,0.02862286,NA,0.524147412,0.524147412,NA,0.35040731,0.35040731,NA,0.205555556,0.205555556,NA,0.358333333,0.358333333,NA,0.241666667,0.241666667,NA,0.805555556,0.805555556,NA,0.85,0.85,NA,0.705555556,0.705555556,NA,0.6,0.6,NA,1.627777778,1.627777778,NA,0.563888889,0.563888889,NA,0.922222222,0.922222222,0.494974747,1.866666667,0,0,0,0,0.156191842,0.800252501,0,0.010541153,0.033014504,3,2.888888889,0.155138359,-0.078182384,NA,NA,2017,NA,NA,NA,NA,NA,NA,3.8,0.579783597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
NLA17_AK-10329,1,NA,NA,NA,2,AK,0.465,0.035,0.2125,0.43,0,0.3,0.4,0.3,STEEP,0,0.003333333,0.245971483,0.217590991,0.066792936,0.287601166,0.170608618,0.008101473,7,4.5,0.119772928,0.048565038,NA,0.43,0.43,NA,0,0,NA,0.005,0.005,NA,0,0,NA,0,0,NA,0.085,0.085,NA,0,0,NA,0,0,NA,1,1,1,1,0,0,4.411111111,3.5,4.411111111,3.5,0,0.341085271,0.3,0.05,0,0.111111111,0.6,0.6,0.444444444,0,0.4,0.55,0,0.5,0.9,0.4,NA,0.025,0.025,NA,0.035,0.035,NA,0.25295769,0.25295769,NA,0,0,NA,0.616173364,0.616173364,NA,0.130868946,0.130868946,NA,0.3475,0.3475,NA,0.1225,0.1225,NA,0.06,0.06,NA,0.53,0.53,NA,0.6775,0.6775,NA,0.8925,0.8925,NA,0.1825,0.1825,NA,1.2075,1.2075,NA,0.47,0.47,NA,0.315,0.315,0.554176065,1.36,0,0,0.158961751,0.064192435,0.077732272,0.594188415,0.046817061,0.049436109,0.016445183,6,4.2,0.226488616,0.152008719,NA,NA,2017,NA,NA,NA,NA,NA,NA,4.8,0.681241237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1
