SITE_ID,VISIT_NO,d18O,dD,d_excess,E_I,RT_iso,RT_modeled,Lk_vol_m3
NLA17_AL-10001,1,-4.6,-26.45,10.35,0,NA,0.020389053,33963752.56
NLA17_AL-10002,1,-3.74,-23.44,6.48,0.055,0.113613012,0.034371543,198302747.9
NLA17_AL-10003,1,-4.48,-28.1,7.74,0.057,0.149837564,0.011720514,123188287.5
NLA17_AL-10004,1,-0.93,-9.26,-1.82,0.157,0.282807715,0.203757657,584040.0415
NLA17_AL-10005,1,-1.43,-11.6,-0.16,0.137,0.142342954,0.381210024,57392.2513
NLA17_AL-10008,1,-1.57,-13.21,-0.65,0.113,0.23306942,0.265385551,366615.1304
NLA17_AL-10018,1,-1.76,-14.73,-0.65,0.121,0.350993242,0.278160413,315314.6175
NLA17_AL-10020,1,-2.12,-12.67,4.29,0.081,0.070641636,0.203859952,12698.3531
NLA17_AL-HP001,1,-1.85,-12.28,2.52,0.117,0.321566454,0.243868311,2469517.18
NLA17_AR-10001,1,-3.01,-15.58,8.5,0.052,0.058928162,0.153022809,1131940.234
NLA17_AR-10002,1,-3.31,-17.83,8.65,0.044,0.076977904,0.040445695,40222209.29
NLA17_AR-10003,1,-2.45,-21.88,-2.28,0.04,NA,0.270264954,NA
NLA17_AR-10004,1,-3,-18.22,5.78,0.069,0.036468621,0.218815771,10313.2785
NLA17_AR-10014,1,-1.86,-13.5,1.38,0.156,0.120618925,0.616168162,74403.6359
NLA17_AR-10016,1,-1.06,-8.58,-0.1,0.222,0.112145129,0.345186693,199649.1685
NLA17_AR-10021,1,-1.48,-11.35,0.49,0.144,0.148870009,0.292217828,182529.2577
NLA17_AR-10022,1,-1.09,-9.07,-0.35,0.171,0.106271488,0.065275684,86689.2586
NLA17_AR-HP001,1,-2.93,-15,8.44,0.062,0.241348147,0.074930617,13777446.13
NLA17_AZ-10001,1,-4.73,-43.8,-5.96,0.21,1.047704534,0.0268829,24368303.98
NLA17_AZ-10002,1,-5.95,-54.4,-6.8,0.306,1.105224523,0.176726971,1756109.417
NLA17_AZ-10003,1,-9.61,-86.2,-9.32,0.245,2.030521753,3.534671946,899606.856
NLA17_AZ-10004,1,-6.65,-57.08,-3.88,0.098,0.159846086,0.225805593,1451988.62
NLA17_AZ-10005,1,-5.28,-48.28,-6.04,0.151,0.356505942,0.271652962,8756682.46
NLA17_AZ-10006,1,-4.31,-41.57,-7.09,0.293,NA,0.233463029,NA
NLA17_AZ-10007,1,-5.69,-55.8,-10.28,0.27,0.782801203,0.093965236,441770.2249
NLA17_AZ-10012,1,2.02,-8.27,-24.43,0.604,4.766866272,0.481823698,3297384.014
NLA17_AZ-10021,1,-7.62,-62.03,-1.07,0.057,0.513872388,0.068538505,1242395.508
NLA17_AZ-10035,1,-4.24,-47.79,-13.87,0.309,0.25130057,0.084780673,58622.3862
NLA17_AZ-10041,1,-9.15,-83,-9.8,0.239,0.071560711,2.653689261,473531.8859
NLA17_AZ-10090,1,-7.84,-60.22,2.5,0.128,0.900228834,0.211808198,955872.2927
NLA17_AZ-10100,1,-8.11,-75.34,-10.46,0.252,3.047983324,0.019476779,5117619
NLA17_CA-10001,1,-4.68,-29.73,7.71,0.076,0.380056573,0.061882241,12158468.05
NLA17_CA-10002,1,-6.51,-42.52,9.56,0.01,0.167466595,0.048418231,58047308.73
NLA17_CA-10003,1,-3.58,-36.21,-7.57,0.381,0.693550314,0.414372553,341817.2028
NLA17_CA-10004,1,-2.57,-52.7,-32.14,0.611,6.863452433,0.297408142,6297286.733
NLA17_CA-10005,1,-5.76,-43.07,3.01,0.138,1.001413511,0.087616302,4770030.811
NLA17_CA-10006,1,-10.93,-76.24,11.2,0,NA,0.012774006,19480.9555
NLA17_CA-10007,1,-4.87,-38.12,0.84,0.211,0.416360668,0.096859036,24564.1811
NLA17_CA-10008,1,-10.63,-76.17,8.87,0.019,0.156731576,0.029280779,343744170.5
NLA17_CA-10009,1,-10.17,-74.79,6.57,0.052,0.19806358,0.037193933,155959812
NLA17_CA-10010,1,-9.76,-67.26,10.82,0,NA,0.043584408,1761764.954
NLA17_CA-10011,1,-5.09,-34.46,6.26,0.127,1.44677588,0.126891583,24542899.16
NLA17_CA-10012,1,-11.46,-79.73,11.95,0,NA,0.011565356,4994973.305
NLA17_CA-10020,1,-12.75,-98.66,3.34,0.053,0.288545573,0.479437101,311788.2277
NLA17_CA-10021,1,0.32,-16.69,-19.25,0.436,1.153750761,0.760638227,27889.2499
NLA17_CA-10033,1,-11.37,-83.78,7.18,0.082,0.865592921,0.13038252,703499.1268
NLA17_CA-10035,1,-6.15,-65.45,-16.25,0.45,0.384108302,0.068238347,40885.0099
NLA17_CA-10052,1,-11.41,-85.9,5.38,0.083,1.254023083,0.160072235,842507.4935
NLA17_CA-10054,1,-3.2,-26.34,-0.74,0.237,1.912885903,0.15470665,11881089.52
NLA17_CA-10055,1,-2.1,-19.63,-2.83,0.521,1.192564155,0.281228746,418879.4551
NLA17_CA-10062,1,-0.06,-38.13,-37.65,0.926,0.311006097,0.254306947,39619.8724
NLA17_CA-10064,1,-2.5,-23.65,-3.65,0.487,0.93106818,0.016729602,549640.6448
NLA17_CA-10068,1,-10.75,-75.81,10.19,0,NA,0.066518086,576721.3506
NLA17_CA-10069,1,-0.27,-22.57,-20.41,0.637,0.632382681,0.181412013,43399.9797
NLA17_CA-10081,1,-0.58,-20.05,-15.41,0.559,4.052802246,0.265904827,1576125.079
NLA17_CA-10082,1,-6.72,-56.08,-2.32,0.102,NA,0.372996054,NA
NLA17_CA-10089,1,-9.06,-83.38,-10.9,0.228,0.851518209,0.07890598,872371.539
NLA17_CA-HP001,1,-10.5,-79.79,4.21,0.113,0.448274827,0.117773223,62716.5125
NLA17_CA-HP002,1,-10.05,-76.5,3.9,0.125,1.274932641,0.045564471,1028858.354
NLA17_CO-10002,1,-13.14,-104.7,0.42,0.143,0.415893163,0.7849926,4400102.387
NLA17_CO-10003,1,-14.86,-107.04,11.84,0,NA,0.138667616,2505556.5
NLA17_CO-10004,1,-6.96,-71.96,-16.28,0.441,1.531104904,0.861519198,1710563.651
NLA17_CO-10005,1,-9.15,-85.97,-12.77,0.373,1.36786934,1.105652818,460190.5838
NLA17_CO-10006,1,-14.01,-106.28,5.8,0.074,0.922890868,0.361027921,756347.474
NLA17_CO-10007,1,-10.71,-90.92,-5.24,0.257,1.202960369,0.92622994,19087219.68
NLA17_CO-10008,1,-8.59,-74.58,-5.86,0.225,0.633466685,0.586836258,1051320.156
NLA17_CO-10009,1,-13.5,-103.51,4.49,0.1,0.845424189,0.406906025,186231.2509
NLA17_CO-10010,1,-5.29,-33.24,9.08,0.031,0.078974818,0.091536664,146664.7595
NLA17_CO-10011,1,-17.28,-126.78,11.46,0,NA,0.295875835,70734.0316
NLA17_CO-10019,1,-14.99,-116.01,3.91,0.022,0.205488227,0.465359228,34531.446
NLA17_CO-10020,1,-17.9,-130.4,12.8,0,NA,0.3016413,32708.2634
NLA17_CO-10022,1,-6.37,-70.14,-19.18,0.472,1.574941345,1.078656818,401700.3181
NLA17_CO-10024,1,-14.45,-111.49,4.11,0.089,1.179626283,0.935069652,6637447.223
NLA17_CO-10037,1,-10.68,-88.66,-3.22,0.177,0.161331955,0.084497608,83382.0604
NLA17_CO-10038,1,-16.93,-123.71,11.73,0,NA,0.240761469,560097.2391
NLA17_CO-10043,1,-13.11,-105.43,-0.55,0.11,0.812873563,0.450762598,45025.8075
NLA17_CO-10050,1,-10.11,-84.87,-3.99,0.231,1.388797817,0.82783679,535434.1978
NLA17_CO-10051,1,-15.28,-109.4,12.84,0,NA,0.131365779,43096.533
NLA17_CO-10053,1,-13.17,-103.37,1.99,0.028,0.19815664,0.591783081,548251.7784
NLA17_CO-10055,1,-10.05,-90.25,-9.85,0.281,0.290202584,0.488651609,41094.5144
NLA17_CO-10057,1,-4.42,-60.55,-25.19,0.193,0.382012064,1.027629772,209591.4118
NLA17_CO-10058,1,-14.73,-112.33,5.51,0.065,4.752675428,1.393441347,331330.0792
NLA17_CO-HP002,1,-16.23,-123.42,6.42,0.06,2.590679229,0.305169533,23036688.62
NLA17_CO-HP003,1,-15.74,-114.75,11.17,0,NA,0.159745791,106858.6217
NLA17_CT-10001,1,-7.3,-49.32,9.08,0.03,0.031428343,0.109772127,130612.3211
NLA17_CT-10002,1,-7.02,-48.14,8.02,0.069,0.41231471200000003,0.231546146,2194880.986
NLA17_CT-10003,1,-4.22,-33.41,0.35,0.263,3.295865449,0.306228535,7618879.026
NLA17_CT-10004,1,-6.57,-42.14,10.42,0,NA,0.12763104,4718185.533
