UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,STUDY,STATE,SAMPLE_TYPE,FLAG,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_WITHDRAWAL,APPEALING,BIOTIC_INTEGRITY,FLIGHT_HAZARDS,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,LAKE_LEVEL,LEVEL_CHANGE_M,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_TREATMENT,MBOAT_DENSITY,MBOAT_RESTRICT,OUTLET_DAMS,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_TRAILS,REC_TRASH,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SEWAGE,REVIEW,SWIMMABILITY,TROPHIC_STATE
2010177,4/26/2021,NLA17_NV-10018,30-May-17,1,NLA,NV,ASSESS,,,,,,,,,2,FAIR,N,DRAINAGE,,,,,,,,,N,,SPARSE,MODERATE,MODERATE,,,L,,,,,,BANNED,ARTIFICIAL,2,RARE,MODERATE,EXTENSIVE,RARE,SPARSE,RARE,SPARSE,RARE,M,,H,,,,,FAIR,,,,M,M,H,M,,,UNSWIMMABLE,EUTROPHIC
2010178,4/26/2021,NLA17_NV-10036,31-May-17,1,NLA,NV,ASSESS,,,,,,,,L,3,GOOD,Y,RESERVOIR,,,,,,,,,N,,HIGH,MODERATE,EXTENSIVE,L,,,,,,,,RESTRICTED,NONE,2,,MODERATE,EXTENSIVE,SPARSE,SPARSE,MODERATE,SPARSE,,,,M,,,L,L,FAIR,L,,,H,M,H,M,,,UNSWIMMABLE,EUTROPHIC
2010179,4/26/2021,NLA17_ND-10011,1-Jun-17,1,NLA,ND,ASSESS,,L,,M,,H,,,3,FAIR,N,SEEPAGE,,,,,,,,,Y,0.2,MODERATE,SPARSE,MODERATE,,,L,,,,,LOW,NONE,NONE,3,SPARSE,SPARSE,RARE,RARE,EXTENSIVE,RARE,SPARSE,RARE,,,,,,,,FAIR,,,,L,,L,L,,,UNSWIMMABLE,EUTROPHIC
2010180,4/26/2021,NLA17_NV-10242,1-Jun-17,1,NLA,NV,ASSESS,,L,,M,,L,,,3,POOR,N,SEEPAGE,,,,,,,,L,Y,3,SPARSE,RARE,RARE,,,,,,,,LOW,NONE,NONE,4,RARE,MODERATE,SPARSE,RARE,SPARSE,RARE,SPARSE,RARE,L,,H,L,,L,L,FAIR,,,,L,,M,M,L,,GOOD,MESOTROPHIC
2010181,4/26/2021,NLA17_OH-10016,1-Jun-17,1,NLA,OH,ASSESS,,,,,,,,,3,GOOD,,RESERVOIR,,,,,,,,,N,,SPARSE,RARE,SPARSE,,,,,,,,,,NONE,3,,RARE,MODERATE,MODERATE,SPARSE,,MODERATE,RARE,,,,,,,,GOOD,,,,L,,M,,,,FAIR,EUTROPHIC
2010182,4/26/2021,NLA17_TN-10003,2-Jun-17,1,NLA,TN,ASSESS,,,,H,,H,L,,3,FAIR,,RESERVOIR,,,,,,L,,,N,,SPARSE,RARE,RARE,,,,L,,,,LOW,,ARTIFICIAL,2,MODERATE,RARE,RARE,MODERATE,MODERATE,RARE,MODERATE,RARE,L,,,,,,,POOR,M,,,M,L,,L,,,FAIR,EUTROPHIC
2010183,4/26/2021,NLA17_AZ-10004,1-Jun-17,1,NLA,AZ,ASSESS,,,,,,,L,M,4,GOOD,Y,RESERVOIR,L,,,,L,,,L,Y,3,MODERATE,RARE,MODERATE,L,,L,M,,,,LOW,RESTRICTED,ARTIFICIAL,3,RARE,SPARSE,SPARSE,MODERATE,MODERATE,SPARSE,SPARSE,SPARSE,M,,L,,,M,L,FAIR,L,L,L,M,M,H,H,M,,FAIR,EUTROPHIC
2010184,4/26/2021,NLA17_MI-10011,5-Jun-17,1,NLA,MI,ASSESS,,,,,,,,M,3,FAIR,,SEEPAGE,,,,,,,,,N,,HIGH,SPARSE,EXTENSIVE,L,,,,,L,,LOW,,NONE,3,,SPARSE,SPARSE,SPARSE,MODERATE,SPARSE,MODERATE,MODERATE,L,,,,,,L,FAIR,,,,M,,M,M,,,FAIR,EUTROPHIC
2010185,4/26/2021,NLA17_ND-10015,5-Jun-17,1,NLA,ND,ASSESS,,L,,L,,L,,,3,FAIR,N,SEEPAGE,,,,,,,,,N,,MODERATE,SPARSE,SPARSE,,,,,,,,LOW,BANNED,NONE,3,SPARSE,SPARSE,RARE,RARE,EXTENSIVE,RARE,RARE,RARE,,,,,,,,FAIR,,,,L,,L,L,,,UNSWIMMABLE,EUTROPHIC
2010186,4/26/2021,NLA17_CA-10064,5-Jun-17,1,NLA,CA,ASSESS,,,,,,,,,2,POOR,,DRAINAGE,,,,,,,,,N,,SPARSE,RARE,RARE,,,,,,M,,HIGH,RESTRICTED,ARTIFICIAL,1,RARE,SPARSE,EXTENSIVE,RARE,SPARSE,EXTENSIVE,MODERATE,RARE,L,H,,,,,L,EXCELLENT,L,L,L,M,L,H,L,,,FAIR,MESOTROPHIC
