PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,STUDY,DSGN_CYCLE,IND_DOMAIN,UNIQUE_ID,SAMPLE_TYPE,FLAG,AGR_CROPLAND,AGR_FEEDLOT,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_PASTURE,AGR_POULTRY,AGR_WITHDRAWAL,ALL_ACTIVITIES_EVALUATED,APPEALING,ARTIFICIAL_CREATED_BY,ARTIFICIAL_LAKE,BENTHIC_MATS,BIOTIC_INTEGRITY,CYANOHABS_SUB_TYPE,CYANOHABS_SUBMITTED,DAM_HEIGHT,DEAD_WLD,HYDRO_TYPE,IND_COMMERCIAL,IND_FIRE,IND_INDUSTRIAL,IND_LOGGING,IND_MINES,IND_ODORS,IND_OIL,IND_POWER,LAKE_LEVEL,LEVEL_CHANGE_M,MACRY_DENSITY,MACRY_FLOAT,MACRY_SUBMERGED,MAN_ANGLING,MAN_DRINKING_WATER,MAN_FISH_STOCKING,MAN_LEVEL_FLUCTUATIONS,MAN_LIMING,MAN_MACROPHYTE,MAN_TREATMENT,MBOAT_DENSITY,MBOAT_RESTRICT,NO_BLOOM_OBSERVED,OTHER_BLOOM,OUTLET_DAMS,OXBOW_RIVERINE,PEA_SOUP,PRE_EUROPEAN_LAKE,PRISTINE,RCH_AGRICULTURE,RCH_BARE_GROUND,RCH_DEVELOPMENT,RCH_FOREST,RCH_GRASS,RCH_SHOREMODS,RCH_SHRUB,RCH_WETLAND,REC_FILMS,REC_MARINAS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_TRAILS,REC_TRASH,RECREATIONAL_VALUE,RES_BRIDGES,RES_CONSTRUCTION,RES_DUMPING,RES_LAWNS,RES_PIPES,RES_RESIDENCES,RES_ROADS,RES_SEWAGE,REVIEW,SURFACE_WATER_STREAKS,SWIMMABILITY,THICK_SCUM,TROPHIC_STATE,WATER_MANAGED,WATER_PUMP
10/16/2023,2020238,NLA22_AZ-10009,5/9/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10100,ASSESS,,,,,,,,L,Y,4,,NO,,FAIR,,,NO,,RESERVOIR,,,,,,,,,N,,MODERATE,RARE,MODERATE,L,,M,,,,,LOW,RESTRICTED,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,EXTENSIVE,SPARSE,SPARSE,MODERATE,SPARSE,MODERATE,SPARSE,,,,H,,L,M,GOOD,,,,,,,L,,Y,,FAIR,,MESOTROPHIC,,ABSENT
10/16/2023,2020238,NLA22_AZ-10009,5/9/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10100,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020241,NLA22_AZ-10026,5/11/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10117,ASSESS,,,,,,,,,Y,3,EXCAVATION,YES,,POOR,,,,,SEEPAGE,,,,,,,,,N,,ABSENT,RARE,RARE,H,,M,,,M,,LOW,RESTRICTED,,,NONE,NO,,NO,2,RARE,MODERATE,SPARSE,RARE,MODERATE,MODERATE,SPARSE,RARE,,,H,,,H,M,GOOD,,,,H,M,L,H,L,Y,,UNSWIMMABLE,,EUTROPHIC,OTHER,PRESENT
10/16/2023,2020241,NLA22_AZ-10026,5/11/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10117,CHAB,,,,,,,,,,,,,,,,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020242,NES22-10186,5/15/2022,1,CA,NES,2022,CORE,NLA_CA-10026,ASSESS,,,,,,M,,,Y,4,IMPOUNDMENT,YES,,FAIR,,,YES,,RESERVOIR,L,,,,,,,,N,,SPARSE,RARE,RARE,M,,,,,,,LOW,RESTRICTED,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,MODERATE,RARE,SPARSE,SPARSE,RARE,MODERATE,MODERATE,,L,M,M,L,,,GOOD,,,,L,,L,L,,Y,,UNSWIMMABLE,,EUTROPHIC,,ABSENT
10/16/2023,2020242,NES22-10186,5/15/2022,1,CA,NES,2022,CORE,NLA_CA-10026,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020243,NLA22_AZ-10032,5/16/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10122,ASSESS,,,,,,,,L,Y,4,IMPOUNDMENT,YES,,FAIR,,,NO,,RESERVOIR,,,,,,,,,N,,MODERATE,RARE,MODERATE,M,,L,,,,,HIGH,NONE,,,ARTIFICIAL,NO,,UNKNOWN,3,RARE,SPARSE,RARE,SPARSE,SPARSE,SPARSE,SPARSE,EXTENSIVE,L,,M,M,,L,L,GOOD,L,,,L,,,L,L,Y,,GOOD,,MESOTROPHIC,UNKNOWN,PRESENT
10/16/2023,2020243,NLA22_AZ-10032,5/16/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10122,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020244,NLA22_AZ-10008,5/17/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10185,ASSESS,,L,L,L,L,,L,L,Y,5,IMPOUNDMENT,YES,,GOOD,,,NO,,RESERVOIR,L,L,L,L,L,L,L,L,N,,SPARSE,RARE,SPARSE,M,L,M,L,L,L,L,LOW,RESTRICTED,,,ARTIFICIAL,NO,,NO,4,RARE,SPARSE,SPARSE,MODERATE,MODERATE,SPARSE,MODERATE,SPARSE,L,L,,H,,H,L,EXCELLENT,,L,,,,,L,,Y,,GOOD,,MESOTROPHIC,,ABSENT
10/16/2023,2020244,NLA22_AZ-10008,5/17/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10185,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2023,2020250,NLA22_AZ-10050,5/18/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10139,ASSESS,,,,,,,,,Y,4,,NO,,POOR,,,,,SEEPAGE,,M,,,,,,,N,,ABSENT,RARE,RARE,,,,,,,,NONE,BANNED,,,NATURAL,NO,,YES,4,RARE,SPARSE,RARE,SPARSE,EXTENSIVE,RARE,RARE,RARE,,,,H,,,L,GOOD,,,,,,,,,Y,,FAIR,,EUTROPHIC,,ABSENT
10/16/2023,2020250,NLA22_AZ-10050,5/18/2022,1,AZ,NLA,2022,CORE,NLA_AZ-10139,CHAB,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
