SITE_ID,Precip_mm_avg_yr,Precip_mm_total_yr,Temp_degC_avg_yr,E_avg_06_07,RH_PT_avg_06_07,temp_degC_summer,temp_degC_winter,temp_degC_spring,precip_mm_summer,precip_mm_winter,precip_mm_spring
NLA06608-0001,127.5016667,1530.02,5.240277778,31.59,63.7,11.606,-4.193333333333333,5.359999999999999,243.35,344.21,529.9
NLA06608-0002,89.74666667,1076.96,20.82027778,78.63,55.03,22.658,13.15,20.453333333333333,559.38,201.43,115.24000000000001
NLA06608-0003,90.38583333,1084.63,23.28277778,93.78,65.27,23.558,14.770000000000001,23.439999999999998,599.8499999999999,219.18,214.22
NLA06608-0004,37.795,453.54,10.87027778,42.51,40.53,17.056,-0.2333333333333333,10.106666666666667,152.15,82.24,98.14
NLA06608-0005,39.91583333,478.99,7.327222222,31.85,45.43,13.675999999999998,-3.17,7.463333333333334,77.53,178.55,84.4
NLA06608-0006,103.5,1242,11.48027778,48.32,55.41,17.126,0.19333333333333305,9.99,353.46999999999997,173.82999999999998,385.9
NLA06608-0007,57.9975,695.97,8.47,47.84,64.43,17.038,-6.926666666666667,9.066666666666665,393.71000000000004,82.22,159.78
NLA06608-0008,81.64083333,979.69,12.39083333,57.56,61.19,19.328,-2.2566666666666664,13.346666666666666,437.24,120.07,332.58
NLA06608-0010,73.1725,878.07,11.00722222,50.95,60.28,17.974,-1.8933333333333333,10.45,274.61,207.92000000000002,223.35
NLA06608-0012,113.52,1362.24,17.53333333,72.53,59.02,21.772000000000002,5.033333333333333,18.299999999999997,674.8400000000001,134.42999999999998,464.03
NLA06608-0013,96.4625,1157.55,14.99833333,60.32,54.15,19.720000000000002,4.266666666666667,13.86,279.18,181.84,361.57
NLA06608-0014,37.21,446.52,7.259444444,48.73,60.89,16.668,-8.75,8.016666666666666,182.04,36.79,200.54
NLA06608-0015,23.55083333,282.61,19.46166667,70.97,29.02,23.184,8.523333333333333,19.46666666666667,107.47000000000001,48.82,63.67
NLA06608-0016,60.86166667,730.34,12.03055556,54.36,58.3,19.288,-2.5233333333333334,12.806666666666667,258.96,100.55,340.43
NLA06608-0019,49.7575,597.09,7.608611111,46.22,54.86,16.715999999999998,-8.209999999999999,8.133333333333333,273.57,42.62,261.37
NLA06608-0020,87.11666667,1045.4,14.63722222,60.71,59.12,20.689999999999998,0.6599999999999998,15.87,307,304.31,219.54000000000002
NLA06608-0021,72.58583333,871.03,10.92777778,50.26,61.4,17.754,-0.8099999999999999,8.63,275.39,219.79000000000002,202.91
NLA06608-0023,104.5758333,1254.91,20.60722222,81.84,59.34,22.874000000000002,10.446666666666667,20.426666666666666,426.44000000000005,193.58999999999997,522.98
NLA06608-0024,127.7958333,1533.55,20.23416667,80.64,61.44,22.714,9.903333333333334,20.55,579.47,351.51000000000005,382.74
NLA06608-0025,68.80833333,825.7,18.10805556,67.1,49.61,21.858,8.323333333333332,18.01666666666667,188.24,214.19,203.29000000000002
NLA06608-0029,83.90833333,1006.9,16.30138889,63.57,56.5,20.72,6.253333333333334,14.656666666666666,244.89000000000001,238.47000000000003,228.81
NLA06608-0031,78.20416667,938.45,13.26,55.62,56.25,19.006,1.0599999999999998,13.223333333333334,336.95,177.41,231.47
NLA06608-0033,155.7708333,1869.25,7.9975,37.36,61.15,12.514,0.4833333333333334,6.789999999999999,119.07,725.77,328.33
NLA06608-0036,94.51,1134.12,16.58138889,64.93,57.53,21.692,4.213333333333333,17.603333333333335,292.73,366.69,212.94
NLA06608-0037,101.8316667,1221.98,11.09361111,49.02,58.28,16.921999999999997,-0.18333333333333326,9.37,388.56,178.61,375.90000000000003
NLA06608-0038,108.5133333,1302.16,6.530555556,41.34,59.1,14.565999999999999,-6.836666666666666,4.5,523.61,244.07,289.33
NLA06608-0041,94.35583333,1132.27,13.17638889,53.35,59.26,18.434,1.5200000000000002,13.753333333333336,470.12,171.86,292.06
NLA06608-0042,54.08,648.96,5.427777778,31.35,45.38,11.952000000000002,-4.1499999999999995,4.803333333333334,201.48000000000002,83,296.72
NLA06608-0043,86.46083333,1037.53,11.79638889,53.67,60.05,18.536,-1.6866666666666665,12.06,457.12,208.45999999999998,196.25
NLA06608-0044,37.01833333,444.22,11.63194444,50.63,49.29,19,-2.183333333333333,12.083333333333334,189.83999999999997,39.84,195.11
NLA06608-0045,92.21166667,1106.54,16.91472222,63.78,54.29,20.99,6.88,16.493333333333336,323.97999999999996,179.04,239.57
NLA06608-0048,89.6075,1075.29,17.21,68.47,56.65,22.212,4.65,18.356666666666666,254.42,378.15999999999997,198.89
NLA06608-0049,97.99416667,1175.93,5.496111111,29.84,49.2,11.334,-2.6366666666666663,4.546666666666667,69.33,630.61,161.54
NLA06608-0050,95.5275,1146.33,9.346111111,46.08,58.34,16.21,-2.8666666666666667,7.496666666666667,344.68,182.53,319.46
NLA06608-0053,96.865,1162.38,9.613055556,51.12,61.99,17.422,-3.3000000000000003,7.603333333333333,352.19,280.34,295.53000000000003
NLA06608-0057,79.12416667,949.49,18.76138889,71.29,50,22.196,9.256666666666666,18.570000000000004,228.42000000000002,239.7,187.16
NLA06608-0061,4.333333333,52,24.96444444,100.7,22.5,27.945999999999998,13.466666666666667,24.87,23.83,10.86,7.0600000000000005
NLA06608-0062,43.7075,524.49,7.415277778,47.5,55.49,16.738,-8.68,8.243333333333332,240.98000000000002,41.19,204.1
NLA06608-0064,24.57083333,294.85,8.441388889,40.64,47.31,15.362,-2.1999999999999997,8.163333333333334,118.11,47.31999999999999,88.77
NLA06608-0065,25.83666667,310.04,10.07833333,45.84,52.22,17.003999999999998,-2.8466666666666662,11.28,54.3,75.59,82.63
NLA06608-0066,95.39666667,1144.76,11.71,50.51,57.88,17.576,0.11000000000000003,11.030000000000001,463.91999999999996,192.84,313.71000000000004
NLA06608-0068,67.695,812.34,5.645,28.63,36.96,11.303999999999998,-2.8166666666666664,4.46,308.32,149.9,193.49
NLA06608-0069,88.445,1061.34,24.0325,89.71,59.77,23.486,18.736666666666668,23.253333333333334,689.66,180.64000000000001,97.18
NLA06608-0071,113.6183333,1363.42,20.84416667,79.91,59.91,23.014,11.266666666666666,21.223333333333333,477.53,362.32,179.22
NLA06608-0072,102.6358333,1231.63,19.43166667,76.57,59.69,22.008,9.093333333333334,19.423333333333332,555.49,124.37,441.06
NLA06608-0073,4.811666667,57.74,15.25888889,55.73,30.4,20.924,3.546666666666667,15.396666666666667,8.24,16.6,20.3
NLA06608-0076,77.10916667,925.31,14.64416667,62.02,55.36,20.768,0.7133333333333335,15.563333333333333,343.65999999999997,117.97999999999999,335.18
NLA06608-0077,108.1633333,1297.96,12.12916667,50.71,55.11,17.838,0.9933333333333333,10.58,439.09999999999997,186.48000000000002,339.32
NLA06608-0078,37.05333333,444.64,6.735,47.22,59.12,16.518000000000004,-9.883333333333333,7.633333333333333,191.73,33.78,199.09
NLA06608-0079,60.265,723.18,5.147222222,28.67,38.81,11.732000000000001,-4.65,4.556666666666666,164.32,189.26,171.74
NLA06608-0080,92.3525,1108.23,19.33388889,75.23,59.74,22.554000000000002,8.51,20.14,350.06,365.78,226.57000000000002
NLA06608-0081,94.38333333,1132.6,12.23777778,49.69,65.66,14.553999999999998,6.173333333333333,11.916666666666666,180.12,399.18,276.75
NLA06608-0083,44.97083333,539.65,8.131111111,48.79,55.21,17.242,-7.789999999999999,8.596666666666668,250.33,43.75,236.25
NLA06608-0085,21.005,252.06,13.72027778,53.15,42.47,19.824,1.6533333333333333,13.776666666666666,42.71,96.15,52.129999999999995
NLA06608-0086,114.675,1376.1,12.90444444,51.87,61.39,15.940000000000001,5.06,12.756666666666668,129.83,496.90000000000003,260.46
NLA06608-0089,68.76,825.12,17.55861111,64.15,48.82,21.43,7.653333333333333,17.55666666666667,207.57999999999998,248.67000000000002,178.54
NLA06608-0090,42.89416667,514.73,5.488611111,30.33,49.52,12.816000000000003,-5.4366666666666665,5.359999999999999,165.08,123.06,123.05
NLA06608-0091,93.56166667,1122.74,12.16277778,54.2,60.81,18.909999999999997,-1.8966666666666665,12.770000000000001,456.18,233.70000000000002,262.67
NLA06608-0099,87.80416667,1053.65,10.27916667,51.46,60.64,17.839999999999996,-4.026666666666666,10.313333333333333,502.38,135.94,233.54000000000002
NLA06608-0101,98.96583333,1187.59,9.738333333,46.72,59.65,16.044,-1.6533333333333333,7.993333333333333,375.91,188.38,350.20000000000005
NLA06608-0102,106.9633333,1283.56,7.758888889,43.8,60.14,15.291999999999998,-5.163333333333333,5.826666666666667,365.21999999999997,189.32999999999998,377.5
NLA06608-0104,74.31166667,891.74,15.75555556,68.43,56.92,21.499999999999996,2.4466666666666668,15.873333333333333,328.96999999999997,112.41,398.78
NLA06608-0105,20.03583333,240.43,12.26361111,47.19,31.63,18.74,-0.7533333333333333,12.453333333333333,81.22,45.209999999999994,29.939999999999998
NLA06608-0107,88.17,1058.04,11.41583333,52.46,61.65,18.226000000000003,-1.8800000000000001,11.443333333333333,477.25,209.46,193.18
NLA06608-0110,53.04166667,636.5,7.819722222,46.62,59.66,16.758,-7.8,8.213333333333333,304.36,58.59,229.12
NLA06608-0111,86.13083333,1033.57,11.78055556,51.88,59.35,17.991999999999997,-0.36666666666666686,11.18,404.00999999999993,220.85000000000002,211.51999999999998
NLA06608-0112,70.49333333,845.92,14.98222222,60.95,56.6,20.91,1.38,16.043333333333333,212.98,268.38,205.67000000000002
NLA06608-0113,107.46,1289.52,6.155555556,40.92,64.72,14.318000000000001,-7.233333333333333,4.113333333333333,486.7699999999999,282.48,280.89
NLA06608-0115,65.26583333,783.19,9.437222222,49.44,62.06,17.306,-4.8500000000000005,9.57,389.85,107.99000000000001,187.61
NLA06608-0116,24.64583333,295.75,15.22,56.84,37.41,21.2,2.276666666666667,14.803333333333333,104.42999999999999,93.89,59.83
NLA06608-0120,107.3958333,1288.75,17.55888889,71.37,56.68,21.604,5.44,18.330000000000002,626.25,163.53,406.97
NLA06608-0124,42.29666667,507.56,11.70166667,50.52,50.51,18.942,-2.08,12.316666666666668,220.3,48.01,220.24
NLA06608-0126,46.74,560.88,7.362222222,47.35,59.21,16.718,-8.81,8.046666666666667,284.75,34.63,199.34
NLA06608-0127,29.9225,359.07,13.15833333,45.17,31.31,18.028,2.7533333333333334,12.76,248.03,36.230000000000004,20.33
NLA06608-0128,25.8875,310.65,9.181666667,47.51,49.16,17.402,-4.743333333333333,9.756666666666666,114.61999999999999,28.560000000000002,130.3
NLA06608-0129,37.7675,453.21,8.001666667,40.41,48.51,14.972,-3.2766666666666673,8.016666666666667,75.83,129.32999999999998,124.84
NLA06608-0130,30.79416667,369.53,20.04944444,71.43,30.58,21.848000000000003,10.813333333333333,20.086666666666666,295.48,27,24.630000000000003
NLA06608-0132,28.75666667,345.08,11.97527778,46.89,39.2,17.854,0.8966666666666666,11.173333333333332,155.05,62.32000000000001,74.75999999999999
NLA06608-0134,107.7683333,1293.22,10.67666667,48.2,57.35,16.7,-0.7533333333333331,9.32,363.22,197.79999999999998,407.71000000000004
NLA06608-0137,35.72,428.64,6.180277778,31.82,43.81,10.865999999999998,-1.2533333333333332,5.03,63.980000000000004,227.39,70.7
NLA06608-0139,87.0525,1044.63,12.09194444,54.22,60.45,18.696,-1.6133333333333333,12.616666666666665,428.53,231.13,208.63
NLA06608-0140,76.86583333,922.39,14.34,63.92,59.5,20.622,0.28333333333333344,15.276666666666666,370.90999999999997,98.79000000000002,360.84
NLA06608-0141,81.6875,980.25,15.43166667,61.99,53.47,20.240000000000002,4.583333333333333,14.213333333333333,223.69,177.38,310.63000000000005
NLA06608-0142,46.17583333,554.11,7.111666667,42.45,64.92,15.52,-7.543333333333334,7.423333333333333,230.66000000000003,74.74000000000001,170.78
NLA06608-0144,74.34833333,892.18,19.21444444,80.55,54.85,22.506,7.836666666666666,19.383333333333336,404.09000000000003,88.44999999999999,260.2
NLA06608-0148,91.73083333,1100.77,14.05333333,57.43,58.44,20.16,0.6733333333333335,14.793333333333331,267.34000000000003,389.14,238.32999999999998
NLA06608-0149,70.24833333,842.98,9.891388889,46.82,59.18,16.508000000000003,-1.6866666666666665,8,272.44,182.35,208.37
NLA06608-0150,94.99416667,1139.93,8.373333333,44.43,53.53,15.815999999999999,-4.913333333333333,6.593333333333334,285.25,188.28,368.93
NLA06608-0152,110.0525,1320.63,18.07416667,75.43,63.11,22.009999999999998,6.213333333333334,18.5,569.66,164.23,438.96000000000004
NLA06608-0153,84.93083333,1019.17,16.37638889,62.38,54.3,20.732,6.156666666666666,16.133333333333333,247.70000000000002,201.52,243
NLA06608-0155,91.28416667,1095.41,11.05777778,51.43,60.87,18.229999999999997,-2.8966666666666665,11.13,527.03,165.4,228.13
NLA06608-0158,52.64833333,631.78,7.981666667,45.17,57.74,16.387999999999998,-7.053333333333334,8.683333333333334,350.24,58.59,159.44
NLA06608-0161,90.77083333,1089.25,24.14194444,93.97,62.59,23.401999999999997,18.956666666666667,23.41,781.28,140.87,97.1
NLA06608-0162,98.635,1183.62,9.861111111,45.47,56.17,16.22,-1.7300000000000002,8.133333333333333,330.14,196.42000000000002,369.52
NLA06608-0167,57.6025,691.23,9.544722222,52.2,61.16,17.970000000000002,-6.043333333333333,10.066666666666666,366.32,86.58,199.15
NLA06608-0168,108.1441667,1297.73,15.86361111,66.76,59.76,21.3,2.103333333333333,16.756666666666664,613.67,165.75,407.05
