SITE_ID,BENT_COND,CHLA_COND,NTL_COND,PTL_COND,DRAWDOWN_COND,LITCVR_COND,LITRIPCVR_COND,RDIS_COND,RVEG_COND,SEDHG_MTH_TOP_COND,SEDHG_TOT_BTM_COND,SEDHG_TOT_TOP_COND,CHLL_REC,CYNL_REC,MICL_REC,WSA9_LO
NLA12_MS-116,Good,Poor,Good,Good,Small,Poor,Poor,Fair,Poor,Low,Not Assessed,Medium,Low,Low,No Detect,CPL_MAN_MADE
NLA12_MS-119,Fair,Fair,Poor,Fair,Small,Poor,Poor,Fair,Poor,Medium,Not Assessed,Medium,Moderate,High,Low,CPL_MAN_MADE
NLA12_VT-101,Good,Good,Good,Fair,Small,Good,Fair,Fair,Poor,High,Medium,High,Low,Low,No Detect,NAP_NATURAL
NLA12_TX-141,Poor,Poor,Good,Good,Small,Good,Fair,Fair,Fair,High,Not Assessed,Medium,Low,Low,Low,CPL_MAN_MADE
NLA12_TX-169,Poor,Good,Poor,Poor,Large,Fair,Poor,Fair,Poor,Medium,Not Assessed,Medium,Low,Low,No Detect,CPL_MAN_MADE
NLA12_OR-133,Not Assessed,Good,Good,Good,Small,Good,Good,Poor,Poor,Medium,Not Assessed,Medium,Low,Low,No Detect,WMT_MAN_MADE
NLA12_OR-131,Not Assessed,Fair,Poor,Poor,Small,Good,Good,Fair,Good,High,Not Assessed,Medium,Low,Low,No Detect,WMT_MAN_MADE
NLA12_TX-158,Poor,Fair,Poor,Poor,Small,Fair,Fair,Good,Good,Low,Not Assessed,Low,Moderate,Moderate,Low,CPL_MAN_MADE
NLA12_ID-107,Poor,Good,Poor,Poor,Large,Fair,Fair,Poor,Fair,Low,Not Assessed,Low,Low,Low,No Detect,XER_MAN_MADE
NLA12_VT-102,Good,Good,Good,Good,Small,Fair,Poor,Fair,Poor,High,Medium,Medium,Low,Low,No Detect,NAP_NATURAL
NLA12_OR-101,Poor,Good,Poor,Poor,Medium,Good,Fair,Poor,Poor,Low,Low,Low,Low,Low,No Detect,XER_NATURAL
NLA12_TX-135,Not Assessed,Poor,Poor,Poor,Small,Poor,Poor,Poor,Poor,Low,Not Assessed,Low,Moderate,Moderate,No Detect,CPL_MAN_MADE
NLA12_WI-101,Not Assessed,Poor,Good,Poor,Medium,Poor,Poor,Poor,Poor,High,Medium,Medium,High,High,Low,TPL_NATURAL
NLA12_ID-151,Fair,Poor,Poor,Poor,Small,Good,Good,Good,Good,Medium,Not Assessed,Low,High,High,No Detect,XER_MAN_MADE
NLA12_TX-110,Not Assessed,Good,Good,Good,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Not Assessed,Medium,Not Assessed,Low,Moderate,Moderate,Low,SPL_MAN_MADE
NLA12_WI-102,Good,Good,Good,Good,Small,Good,Fair,Poor,Fair,Medium,Low,Medium,Low,Low,Low,TPL_NATURAL
NLA12_ID-109,Poor,Good,Good,Good,Small,Good,Good,Good,Good,Medium,Not Assessed,Low,Moderate,Low,No Detect,XER_MAN_MADE
NLA12_ID-111,Poor,Good,Good,Fair,Medium,Good,Fair,Fair,Fair,Medium,Not Assessed,Low,Moderate,Moderate,Low,XER_MAN_MADE
NLA12_VT-106,Good,Fair,Good,Fair,Small,Good,Good,Good,Good,High,Medium,High,Low,Low,No Detect,NAP_NATURAL
NLA12_WI-152,Good,Poor,Good,Good,Medium,Good,Fair,Poor,Fair,Low,Medium,Medium,Moderate,Moderate,Low,TPL_NATURAL
NLA12_WI-113,Fair,Good,Poor,Good,Small,Good,Good,Fair,Fair,Medium,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-151,Poor,Good,Good,Good,Small,Poor,Poor,Poor,Fair,Low,Low,Medium,Low,Low,No Detect,UMW_MAN_MADE
NLA12_WI-117,Good,Good,Good,Good,Small,Good,Good,Fair,Good,Not Assessed,Not Assessed,Not Assessed,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-139,Poor,Fair,Poor,Fair,Small,Good,Poor,Fair,Poor,Medium,Medium,Medium,Low,Moderate,Low,UMW_NATURAL
NLA12_MI-124,Fair,Good,Good,Fair,Small,Good,Fair,Fair,Good,Medium,Low,High,Low,Low,Low,UMW_NATURAL
NLA12_OR-106,Poor,Good,Good,Poor,Small,Good,Good,Fair,Good,High,Not Assessed,Medium,Low,Low,No Detect,WMT_MAN_MADE
NLA12_WI-136,Good,Poor,Good,Good,Small,Good,Poor,Fair,Poor,Not Assessed,Not Assessed,Not Assessed,Low,Low,Low,TPL_NATURAL
NLA12_MI-109,Poor,Good,Good,Poor,Small,Good,Good,Fair,Good,Medium,Medium,Medium,Low,Moderate,No Detect,UMW_NATURAL
NLA12_TX-109,Fair,Good,Poor,Good,Small,Good,Good,Fair,Fair,Medium,Not Assessed,Medium,Moderate,Low,Low,CPL_MAN_MADE
NLA12_VT-109,Good,Fair,Fair,Fair,Small,Good,Good,Good,Fair,High,Medium,High,Low,Low,Low,NAP_NATURAL
NLA12_MI-136,Good,Good,Good,Good,Small,Good,Fair,Poor,Poor,High,Medium,High,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-105,Poor,Good,Good,Poor,Large,Good,Poor,Poor,Poor,High,High,Medium,Low,Moderate,Low,UMW_NATURAL
NLA12_MI-167,Fair,Good,Good,Good,Small,Good,Good,Fair,Good,Medium,Medium,Medium,Low,Low,No Detect,UMW_MAN_MADE
NLA12_WI-168,Good,Poor,Good,Good,Medium,Good,Fair,Poor,Fair,Not Assessed,Not Assessed,Not Assessed,Low,Low,Low,TPL_NATURAL
NLA12_TX-124,Not Assessed,Good,Good,Good,Large,Fair,Poor,Poor,Poor,Medium,Not Assessed,Low,Moderate,Moderate,Low,SPL_MAN_MADE
NLA12_TX-148,Not Assessed,Good,Good,Poor,Large,Fair,Fair,Fair,Good,Low,Not Assessed,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_WI-172,Poor,Poor,Poor,Poor,Small,Good,Good,Not Assessed,Poor,Not Assessed,Not Assessed,Not Assessed,High,Low,No Detect,TPL_MAN_MADE
NLA12_MI-108,Poor,Good,Good,Good,Small,Fair,Poor,Poor,Poor,High,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_ID-149,Good,Fair,Poor,Poor,Small,Good,Fair,Good,Good,Medium,Low,Low,Moderate,Low,Low,WMT_NATURAL
NLA12_ID-148,Poor,Good,Good,Fair,Small,Good,Good,Fair,Good,Medium,Low,Medium,Low,Low,No Detect,XER_MAN_MADE
NLA12_ID-103,Good,Poor,Good,Fair,Small,Good,Fair,Fair,Fair,Medium,Medium,Not Assessed,Low,Low,No Detect,WMT_NATURAL
NLA12_MI-104,Poor,Good,Good,Good,Small,Good,Fair,Poor,Good,High,Medium,Medium,Low,Moderate,No Detect,UMW_NATURAL
NLA12_VT-104,Good,Good,Good,Good,Small,Good,Good,Fair,Fair,High,Not Assessed,High,Low,Low,No Detect,NAP_MAN_MADE
NLA12_MI-120,Poor,Good,Fair,Poor,Small,Good,Good,Fair,Good,High,Medium,Medium,Moderate,Low,Low,UMW_NATURAL
NLA12_TX-103,Not Assessed,Good,Poor,Fair,Large,Good,Good,Fair,Good,Low,Not Assessed,Low,Moderate,High,No Detect,SPL_MAN_MADE
NLA12_MI-152,Fair,Good,Poor,Fair,Large,Good,Good,Fair,Good,High,Medium,High,Low,Low,Low,UMW_NATURAL
NLA12_MI-128,Poor,Good,Good,Good,Small,Fair,Poor,Poor,Poor,High,Medium,Medium,Low,Low,Low,UMW_NATURAL
NLA12_MI-168,Poor,Good,Poor,Good,Small,Good,Fair,Fair,Fair,High,Medium,Medium,Moderate,Low,Low,UMW_NATURAL
NLA12_MI-112,Poor,Good,Fair,Fair,Small,Good,Fair,Poor,Poor,Low,Low,Low,Moderate,High,Low,UMW_NATURAL
NLA12_MI-115,Poor,Good,Good,Good,Small,Poor,Poor,Poor,Poor,High,Low,High,Low,Low,No Detect,UMW_NATURAL
NLA12_WI-131,Good,Good,Good,Good,Small,Good,Good,Fair,Good,High,Medium,Medium,Moderate,Moderate,No Detect,UMW_NATURAL
NLA12_WI-154,Good,Good,Fair,Fair,Small,Good,Fair,Good,Fair,High,Medium,High,Moderate,Low,No Detect,UMW_NATURAL
NLA12_NE-109,Fair,Good,Fair,Poor,Small,Good,Fair,Poor,Fair,Low,Not Assessed,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_NE-103,Not Assessed,Good,Poor,Poor,Large,Fair,Poor,Fair,Fair,Medium,Not Assessed,Low,Moderate,Low,Low,SPL_MAN_MADE
NLA12_NE-114,Not Assessed,Good,Good,Poor,Large,Poor,Poor,Fair,Poor,Low,Not Assessed,Low,Low,Low,No Detect,SPL_MAN_MADE
NLA12_WA-106,Poor,Poor,Poor,Fair,Small,Good,Good,Fair,Good,Low,Not Assessed,Medium,High,High,Low,WMT_MAN_MADE
NLA12_NE-104,Fair,Good,Poor,Poor,Large,Fair,Fair,Fair,Good,High,Not Assessed,Low,High,Moderate,Low,SPL_MAN_MADE
NLA12_MI-117,Good,Good,Good,Good,Small,Poor,Poor,Poor,Poor,Medium,Medium,Medium,Low,Low,Low,UMW_NATURAL
NLA12_MI-102,Poor,Good,Good,Poor,Small,Poor,Poor,Fair,Fair,High,Medium,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_NE-133,Good,Fair,Good,Good,Small,Fair,Fair,Fair,Good,Low,Low,Medium,Low,Low,Low,SPL_NATURAL
NLA12_MI-110,Fair,Good,Good,Good,Small,Good,Poor,Fair,Poor,Medium,Low,Medium,Low,Low,No Detect,UMW_NATURAL
NLA12_MI-129,Poor,Good,Good,Good,Small,Fair,Poor,Poor,Poor,Medium,Medium,Medium,Low,Low,Low,UMW_NATURAL
