UID,PUBLICATION_DATE,SITE_ID,VISIT_NO,DATE_COL,SITESAMP,UNIQUE_ID,STUDY,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,AREA_CAT6,AREA_HA,BORD_LAKE,CNTYNAME,COMID,DES_FTYPE,ELEVATION,EPA_REG,EVAL_CAT,FCODE,FEOW_ID,FRAME07,FRAME12,FRAME17,FRAME17_ID,FS_EW,FTYPE,GNIS_ID,GNIS_NAME,HUC2,HUC2_NM,HUC8,HUC8_NM,LAKE_ORGN,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_NARS,PANEL_RVST,PANEL_SOT,PANEL_USE,PANEL_WGT,PERIM_KM,PROB_CAT,PSTL_CODE,REACHCODE,SF_ST_ID,SITETYPE,SOURCE,STATE_NM,STATE_PCT,STATECTY,STRATUM,TNT_CAT,URBN_NLA07,URBN_NLA17,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,WGT_CAT,WGT_TP_EXTENT,XCOORD,YCOORD,WGT_TP_CORE,INDEX_NLA,RT_NLA17,RT_NLA17_BENT,RT_NLA17_ZOOP
2010177,4/19/2021,NLA17_NV-10018,1,5/30/2017,Y,NLA_NV-10109,NLA,WMTNS,West,XER,Xeric,"(4,10]",7.933418,Not_Border,Washoe,8931482,Lake/Pond: Hydrographic Category = Perennial,1353,Region_09,Target_Sampled,39004,126,Include,Include,Include,362167,Not_USFS,LakePond,0,None,H16,Great Basin Region,H16050102,Truckee,MAN_MADE,39.54188,-119.7789,Great Basin Region,H16,10,NORTH AMERICAN DESERTS,10.1,COLD DESERTS,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT_OverSamp,NLA17_12_TSS,1.548572,Equal,NV,R16050102001269,None,PROB,NLA2012Frame Only,Nevada,100,F32031,NV,Target,Urban,Urban,13,Central Basin and Range,13aa,Sierra Nevada-Influenced Semiarid Hills and Basins,"XER_(4,10]",6.532128325,-2004013.063,480890.626,13.166523,Y,T,T,T
2010178,4/19/2021,NLA17_NV-10036,1,5/31/2017,Y,NLA_NV-10178,NLA,WMTNS,West,XER,Xeric,"(1,4]",2.288759,Not_Border,Washoe,65193757,Lake/Pond: Hydrographic Category = Perennial,1371,Region_09,Target_Sampled,39004,126,Exclude,Exclude,Include,417367,Not_USFS,LakePond,0,None,H16,Great Basin Region,H16050102,Truckee,MAN_MADE,39.4578,-119.7898,Great Basin Region,H16,10,NORTH AMERICAN DESERTS,10.1,COLD DESERTS,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_NO_17,NLA_NO_NO_17,NLA17_17_OverSamp,NLA17_17,1.51538,"(1,4]",NV,R16050102003111,None,PROB,NHD High Res Lake Snapshot Only,Nevada,100,F32031,NV,Target,Urban,Urban,13,Central Basin and Range,13aa,Sierra Nevada-Influenced Semiarid Hills and Basins,"XER_HIR_(1,4]",15.19126674,-2007246.67,471991.4777,25.89020213,Y,T,T,T
2010179,4/19/2021,NLA17_ND-10011,1,6/1/2017,Y,NLA_ND-10100,NLA,PLNLOW,Plains and Lowlands,NPL,Northern Plains,"(20,50]",35.57998,Not_Border,Kidder,14679932,Lake/Pond: Hydrographic Category = Perennial,540,Region_08,Target_Sampled,39004,142,Include,Include,Include,270143,Not_USFS,LakePond,0,None,H10,Missouri Region,H10130103,Apple,NATURAL,47.17341,-99.77111,Missouri Region,H10,9,GREAT PLAINS,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT,NLA17_12_TSS,2.557773,Equal,ND,R10130103004415,None,PROB,NLA2012Frame Only,North Dakota,100,F38043,ND,Target,Non-Urban,Non-Urban,42,Northwestern Glaciated Plains,42b,Collapsed Glacial Outwash,"NPL_(20,50]",25.38016783,-287304.2941,1085789.637,34.01193575,Y,S,S,S
2010180,4/19/2021,NLA17_NV-10242,1,6/1/2017,Y,NLA_NV-10066,NLA,WMTNS,West,XER,Xeric,>50,14378.43,Not_Border,Mineral,10734232,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,1206,Region_09,Target_Sampled,39009,126,Include,Include,Include,356844,Not_USFS,LakePond,844615,Walker Lake,H16,Great Basin Region,H16050304,Walker Lake,NATURAL,38.69493,-118.7144,Great Basin Region,H16,10,NORTH AMERICAN DESERTS,10.1,COLD DESERTS,Walker Lake,NESLake,3211,3211,DOD,NLA_07_NO_17,NLA_NO_NO_17,NLA17_17_OverSamp,NLA17_17,55.39909,>50,NV,R16050304000311,None,PROB,NLA2012Frame Only,Nevada,100,F32021,NV,Target,Non-Urban,Non-Urban,13,Central Basin and Range,13j,Lahontan Salt Shrub Basin,XER_>50,5.397955312,-1938529.67,366708.7284,6.187382727,Y,T,T,T
2010181,4/19/2021,NLA17_OH-10016,1,6/1/2017,Y,NLA_OH-10072,NLA,EHIGH,Eastern Highlands,NAP,Northern Appalachians,"(1,4]",1.196706,Not_Border,Geauga,15585878,Lake/Pond: Hydrographic Category = Perennial,348,Region_05,Target_Sampled,39004,116,Include,Include,Include,106488,Not_USFS,LakePond,0,None,H04,Great Lakes Region,H04110003,Cuyahoga,MAN_MADE,41.49185,-81.17701,Great Lakes Region,H04,8,EASTERN TEMPERATE FORESTS,8.1,MIXED WOOD PLAINS,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_NO_17,NLA_NO_NO_17,NLA17_17,NLA17_17,0.4489507,"(1,4]",OH,R04110002001143,None,PROB,NLA2012Frame Only,Ohio,100,F39055,OH,Target,Urban,Urban,61,Erie Drift Plain,61c,Low Lime Drift Plain,"NAP_(1,4]",128.2437846,1223325.974,542866.3672,388.8399074,Y,T,T,T
2010182,4/19/2021,NLA17_TN-10003,1,6/2/2017,Y,NLA_TN-10029,NLA,EHIGH,Eastern Highlands,SAP,Southern Appalachians,"(20,50]",33.43314,Not_Border,Maury,19514006,Lake/Pond: Hydrographic Category = Perennial,192,Region_04,Target_Sampled,39004,152,Include,Include,Include,143432,Not_USFS,LakePond,1302026,Tailings Pond Number Ten,H06,Tennessee Region,H07010105,Lower Duck,MAN_MADE,35.67353,-87.03213,Ohio-Tennessee Region,H05_06,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Tailings Pond Number Ten,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT2,NLA17_12_TSS,3.34306,Equal,TN,R06040003002625,None,PROB,NLA2012Frame Only,Tennessee,100,F47119,TN,Target,Urban,Urban,71,Interior Plateau,71h,Outer Nashville Basin,"SAP_(20,50]",49.23238577,803439.045,-166666.5276,54.6737393,Y,T,T,T
2010183,4/19/2021,NLA17_AZ-10004,1,6/1/2017,Y,NLA_AZ-10008,NLA,WMTNS,West,WMT,Western Mountains,>50,119.1798,Not_Border,Yavapai,20451100,Lake/Pond: Hydrographic Category = Perennial; Stage = Normal Pool,1567,Region_09,Target_Sampled,39010,131,Include,Include,Include,361746,Not_USFS,LakePond,36238,Willow Creek Reservoir,H15,Lower Colorado Region,H15060202,Upper Verde,MAN_MADE,34.60431,-112.4386,Lower Colorado Region,H15,13,TEMPERATE SIERRAS,13.1,UPPER GILA MOUNTAINS,Willow Creek Reservoir,Not_NES,NotNES,Not_NES,Private,NLA_07_12_17,NLA_07_12_17,NLA17_07RVT,NLA17_07_TSS,9.130229,Equal,AZ,R15060202001693,None,PROB,NLA2012Frame Only,Arizona,100,F04025,AZ,Target,Urban,Urban,23,Arizona/New Mexico Mountains,23b,Madrean Lower Montane Woodlands,WMT_>50,2.978293527,-1488184.641,-195215.2504,3.107260326,Y,T,T,T
2010184,4/19/2021,NLA17_MI-10011,1,6/5/2017,Y,NLA_MI-10091,NLA,PLNLOW,Plains and Lowlands,UMW,Upper Midwest,"(20,50]",20.79842,Not_Border,Muskegon,12134984,Lake/Pond: Hydrographic Category = Perennial,198,Region_05,Target_Sampled,39004,116,Include,Include,Include,106930,Not_USFS,LakePond,1619623,Crocker Lake,H04,Great Lakes Region,H04090005,Muskegon,NATURAL,43.37318,-86.14407,Great Lakes Region,H04,8,EASTERN TEMPERATE FORESTS,8.1,MIXED WOOD PLAINS,Crocker Lake,Not_NES,NotNES,Not_NES,Private,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT2,NLA17_12_TSS,2.059968,Equal,MI,R04060102002410,None,PROB,NLA2012Frame Only,Michigan,100,F26121,MI,Target,Urban,Urban,56,Southern Michigan/Northern Indiana Drift Plains,56d,Michigan Lake Plain,"UMW_(20,50]",247.1927677,793470.1685,698774.4109,254.8460214,Y,S,S,S
2010185,4/19/2021,NLA17_ND-10015,1,6/5/2017,Y,NLA_ND-10085,NLA,PLNLOW,Plains and Lowlands,NPL,Northern Plains,"(4,10]",7.124819,Not_Border,Kidder,14680560,Lake/Pond: Hydrographic Category = Perennial,529,Region_08,Target_Sampled,39004,142,Include,Include,Include,270134,Not_USFS,LakePond,0,None,H10,Missouri Region,H10130103,Apple,NATURAL,47.08001,-99.73059,Missouri Region,H10,9,GREAT PLAINS,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,None,Not_NES,NotNES,Not_NES,FWS,NLA_NO_12_17,NLA_NO_12_17,NLA17_12RVT,NLA17_12_TSS,1.061316,Equal,ND,R10130103004752,None,PROB,NLA2012Frame Only,North Dakota,100,F38043,ND,Target,Non-Urban,Non-Urban,42,Northwestern Glaciated Plains,42b,Collapsed Glacial Outwash,"NPL_(4,10]",137.7322426,-284624.3059,1075344.447,350.3578579,Y,S,S,S
2010186,4/19/2021,NLA17_CA-10064,1,6/5/2017,Y,NLA_CA-10183,NLA,WMTNS,West,XER,Xeric,"(20,50]",40.65087,Not_Border,Marin,1668835,Lake/Pond: Hydrographic Category = Perennial,1,Region_09,Target_Sampled,39004,125,Include,Include,Include,376058,Not_USFS,LakePond,0,None,H18,California Region,H18050002,San Pablo Bay,MAN_MADE,38.08325,-122.5184,California Region,H18,11,MEDITERRANEAN CALIFORNIA,11.1,MEDITERRANEAN CALIFORNIA,None,Not_NES,NotNES,Not_NES,Private,NLA_NO_NO_17,NLA_NO_NO_17,NLA17_17_OverSamp,NLA17_17,4.2329040000000004,"(20,50]",CA,R18050002001808,None,PROB,NLA2012Frame Only,California,100,F06041,CA,Target,Urban,Urban,6,Central California Foothills and Coastal Mountains,6p,Bay Flats,"XER_(20,50]",8.765044119,-2274217.338,384747.3213,11.15019333,Y,S,S,S
