SITE_ID,VISIT_NO,DATE_COL,COMMENT_ORIGIN,LkArea_km2,L_LkAreakm2,ELEV_use,L_ELEV_use,LkPerim_km,L_LkPerimkm,DpthMx_use,L_DpthMx_use,HORIZDD_use,VERTDD_use
NLA17_AK-10010,1,7/26/2017,NA,NA,NA,NA,NA,NA,NA,19.5,1.290034611,0,0
NLA17_AK-10011,1,8/11/2017,NA,NA,NA,NA,NA,NA,NA,32.6,1.5132176,0,0
NLA17_AK-10023,1,7/17/2017,NA,NA,NA,NA,NA,NA,NA,6,0.77815125,0,0
NLA17_AK-10083,1,7/23/2017,NA,NA,NA,NA,NA,NA,NA,3.2,0.505149978,0,0
NLA17_AK-10125,1,8/6/2017,NA,NA,NA,NA,NA,NA,NA,2,0.301029996,0,0
NLA17_AK-10184,1,7/22/2017,NA,NA,NA,NA,NA,NA,NA,5.9,0.770852012,0,0
NLA17_AK-10245,1,8/1/2017,NA,NA,NA,NA,NA,NA,NA,11.2,1.0492180230000001,0,0
NLA17_AK-10281,1,7/31/2017,NA,NA,NA,NA,NA,NA,NA,7.5,0.875061263,0,0
NLA17_AK-10327,1,7/17/2017,NA,NA,NA,NA,NA,NA,NA,3.8,0.579783597,0,0
NLA17_AK-10329,1,8/7/2017,NA,NA,NA,NA,NA,NA,NA,4.8,0.681241237,0,0
NLA17_AK-10334,1,8/13/2017,NA,NA,NA,NA,NA,NA,NA,1.2,0.079181246,0.2,0
NLA17_AK-10383,1,7/20/2017,NA,NA,NA,NA,NA,NA,NA,2.9,0.462397998,0,0
NLA17_AK-10391,1,7/19/2017,NA,NA,NA,NA,NA,NA,NA,19.5,1.290034611,0,0
NLA17_AK-10395,1,7/20/2017,NA,NA,NA,NA,NA,NA,NA,14.7,1.167317335,0,0
NLA17_AK-10422,1,7/21/2017,NA,NA,NA,NA,NA,NA,NA,34.5,1.537819095,0,0
NLA17_AK-10427,1,8/8/2017,NA,NA,NA,NA,NA,NA,NA,20.2,1.305351369,0,0
NLA17_AK-10431,1,8/2/2017,NA,NA,NA,NA,NA,NA,NA,31.8,1.50242712,0,0
NLA17_AK-10432,1,8/6/2017,NA,NA,NA,NA,NA,NA,NA,20.9,1.320146286,2.722222222,0.4
NLA17_AK-10433,1,7/25/2017,NA,NA,NA,NA,NA,NA,NA,31.4,1.496929648,2.67,0.25
NLA17_AK-10435,1,8/5/2017,NA,NA,NA,NA,NA,NA,NA,36.5,1.562292865,0,0
NLA17_AK-10440,1,8/3/2017,NA,NA,NA,NA,NA,NA,NA,35,1.544068044,0,0
NLA17_AK-10446,1,7/28/2017,NA,NA,NA,NA,NA,NA,NA,48,1.681241237,8.83,4.16
NLA17_AK-10449,1,7/18/2017,NA,NA,NA,NA,NA,NA,NA,30.5,1.484299839,1.29,0.1
NLA17_AK-10453,1,7/24/2017,NA,NA,NA,NA,NA,NA,NA,27,1.431363764,0,0
NLA17_AK-10455,1,8/8/2017,NA,NA,NA,NA,NA,NA,NA,25,1.397940009,0,0
NLA17_AK-10456,1,8/4/2017,NA,NA,NA,NA,NA,NA,NA,48.3,1.683947131,0,0
NLA17_AK-10462,1,7/27/2017,NA,NA,NA,NA,NA,NA,NA,47,1.672097858,0,0
NLA17_AK-10464,1,8/2/2017,NA,NA,NA,NA,NA,NA,NA,31.6,1.499687083,0,0
NLA17_AK-10465,1,7/19/2017,NA,NA,NA,NA,NA,NA,NA,12.1,1.08278537,0,0
NLA17_AK-10472,1,8/4/2017,NA,NA,NA,NA,NA,NA,NA,29.3,1.46686762,2,0.08
NLA17_AK-10473,1,7/24/2017,NA,NA,NA,NA,NA,NA,NA,34.4,1.536558443,0.81,0.28
NLA17_AK-10479,1,8/10/2017,NA,NA,NA,NA,NA,NA,NA,48.7,1.687528961,3.75,7
NLA17_AK-10495,1,8/7/2017,NA,NA,NA,NA,NA,NA,NA,38.3,1.583198774,0,0
NLA17_AK-10496,1,8/9/2017,NA,NA,NA,NA,NA,NA,NA,31.1,1.492760389,0,0
NLA17_AK-10514,1,7/26/2017,NA,NA,NA,NA,NA,NA,NA,30.6,1.485721427,0,0
NLA17_AK-11111,1,8/12/2017,NA,NA,NA,NA,NA,NA,NA,5.5,0.74036269,0,0
NLA17_AK-11206,1,7/22/2017,NA,NA,NA,NA,NA,NA,NA,5.9,0.770852012,0,0
NLA17_AL-10001,1,7/10/2017,NA,13.01872,1.114568287,57,1.755874856,104.2087,2.017903978,7.6,0.880813592,0.18,0.15
NLA17_AL-10001,2,8/14/2017,NA,13.01872,1.114568287,57,1.755874856,104.2087,2.017903978,8.9,0.949390007,0,0
NLA17_AL-10003,1,7/12/2017,NA,47.31474,1.674996458,22,1.342422681,698.1088,2.843923113,14.8,1.170261715,9.43,0.18
NLA17_AL-10004,1,7/14/2017,NA,0.3256146,-0.48729613,52,1.716003344,2.998954,0.476969804,4.8,0.681241237,0,0
NLA17_AL-10004,2,8/16/2017,NA,0.3256146,-0.48729613,52,1.716003344,2.998954,0.476969804,4.5,0.653212514,0,NA
NLA17_AL-10005,1,7/11/2017,NA,0.05555443,-1.255281304,76,1.880813592,1.293122,0.111639501,2.4,0.380211242,0,0
NLA17_AL-10008,1,7/13/2017,NA,0.1817583,-0.740505748,66,1.819543936,2.439051,0.387220881,5.1,0.707570176,0,0
NLA17_AL-10018,1,8/15/2017,NA,0.1117081,-0.951915335,166,2.220108088,2.503725,0.398586626,6.1,0.785329835,0,NA
